Rall,I,J,Text
XE25,40,415,c_bool(False)
XE25,40,416,c_bool(False)
XE25,41,412,c_bool(False)
XE25,41,413,c_bool(False)
XE25,41,414,c_bool(False)
XE25,41,415,c_bool(False)
XE25,41,416,c_bool(False)
XE25,41,417,c_bool(False)
XE25,41,418,c_bool(False)
XE25,41,419,c_bool(False)
XE25,42,401,c_bool(False)
XE25,42,402,c_bool(False)
XE25,42,403,c_bool(False)
XE25,42,404,c_bool(False)
XE25,42,405,c_bool(False)
XE25,42,412,c_bool(False)
XE25,42,413,c_bool(False)
XE25,42,414,c_bool(False)
XE25,42,415,c_bool(False)
XE25,42,416,c_bool(False)
XE25,42,417,c_bool(False)
XE25,42,418,c_bool(False)
XE25,42,419,c_bool(False)
XE25,43,397,c_bool(False)
XE25,43,398,c_bool(False)
XE25,43,399,c_bool(False)
XE25,43,401,c_bool(False)
XE25,43,402,c_bool(False)
XE25,43,403,c_bool(False)
XE25,43,404,c_bool(False)
XE25,43,405,c_bool(False)
XE25,43,406,c_bool(False)
XE25,43,407,c_bool(False)
XE25,43,408,c_bool(False)
XE25,43,409,c_bool(False)
XE25,43,410,c_bool(False)
XE25,43,411,c_bool(False)
XE25,43,412,c_bool(False)
XE25,43,413,c_bool(False)
XE25,43,414,c_bool(False)
XE25,43,415,c_bool(False)
XE25,43,416,c_bool(False)
XE25,43,417,c_bool(False)
XE25,43,418,c_bool(False)
XE25,44,395,c_bool(False)
XE25,44,396,c_bool(False)
XE25,44,397,c_bool(False)
XE25,44,398,c_bool(False)
XE25,44,399,c_bool(False)
XE25,44,400,c_bool(False)
XE25,44,401,c_bool(False)
XE25,44,402,c_bool(False)
XE25,44,403,c_bool(False)
XE25,44,404,c_bool(False)
XE25,44,405,c_bool(False)
XE25,44,406,c_bool(False)
XE25,44,407,c_bool(False)
XE25,44,408,c_bool(False)
XE25,44,409,c_bool(False)
XE25,44,410,c_bool(False)
XE25,44,411,c_bool(False)
XE25,44,412,c_bool(False)
XE25,44,413,c_bool(False)
XE25,44,414,c_bool(False)
XE25,44,415,c_bool(False)
XE25,44,416,c_bool(False)
XE25,44,417,c_bool(False)
XE25,44,418,c_bool(False)
XE25,44,419,c_bool(False)
XE25,45,393,c_bool(False)
XE25,45,394,c_bool(False)
XE25,45,395,c_bool(False)
XE25,45,396,c_bool(False)
XE25,45,397,c_bool(False)
XE25,45,398,c_bool(False)
XE25,45,399,c_bool(False)
XE25,45,400,c_bool(False)
XE25,45,401,c_bool(False)
XE25,45,402,c_bool(False)
XE25,45,403,c_bool(False)
XE25,45,404,c_bool(False)
XE25,45,405,c_bool(False)
XE25,45,406,c_bool(False)
XE25,45,407,c_bool(False)
XE25,45,408,c_bool(False)
XE25,45,409,c_bool(False)
XE25,45,410,c_bool(False)
XE25,45,411,c_bool(False)
XE25,45,412,c_bool(False)
XE25,45,413,c_bool(False)
XE25,45,414,c_bool(False)
XE25,45,415,c_bool(False)
XE25,45,416,c_bool(False)
XE25,45,417,c_bool(False)
XE25,45,418,c_bool(False)
XE25,45,419,c_bool(False)
XE25,45,420,c_bool(False)
XE25,46,393,c_bool(False)
XE25,46,394,c_bool(False)
XE25,46,395,c_bool(False)
XE25,46,396,c_bool(False)
XE25,46,397,c_bool(False)
XE25,46,398,c_bool(False)
XE25,46,399,c_bool(False)
XE25,46,400,c_bool(False)
XE25,46,401,c_bool(False)
XE25,46,402,c_bool(False)
XE25,46,403,c_bool(False)
XE25,46,404,c_bool(False)
XE25,46,405,c_bool(False)
XE25,46,406,c_bool(False)
XE25,46,407,c_bool(False)
XE25,46,408,c_bool(False)
XE25,46,409,c_bool(False)
XE25,46,410,c_bool(False)
XE25,46,411,c_bool(False)
XE25,46,412,c_bool(False)
XE25,46,413,c_bool(False)
XE25,46,414,c_bool(False)
XE25,46,415,c_bool(False)
XE25,46,416,c_bool(False)
XE25,46,417,c_bool(False)
XE25,46,418,c_bool(False)
XE25,46,419,c_bool(False)
XE25,46,420,c_bool(False)
XE25,47,391,c_bool(False)
XE25,47,392,c_bool(False)
XE25,47,393,c_bool(False)
XE25,47,394,c_bool(False)
XE25,47,395,c_bool(False)
XE25,47,396,c_bool(False)
XE25,47,397,c_bool(False)
XE25,47,398,c_bool(False)
XE25,47,399,c_bool(False)
XE25,47,400,c_bool(False)
XE25,47,401,c_bool(False)
XE25,47,402,c_bool(False)
XE25,47,403,c_bool(False)
XE25,47,404,c_bool(False)
XE25,47,405,c_bool(False)
XE25,47,406,c_bool(False)
XE25,47,407,c_bool(False)
XE25,47,408,c_bool(False)
XE25,47,409,c_bool(False)
XE25,47,410,c_bool(False)
XE25,47,411,c_bool(False)
XE25,47,412,c_bool(False)
XE25,47,413,c_bool(False)
XE25,47,414,c_bool(False)
XE25,47,415,c_bool(False)
XE25,47,416,c_bool(False)
XE25,47,417,c_bool(False)
XE25,47,418,c_bool(False)
XE25,47,419,c_bool(False)
XE25,47,420,c_bool(False)
XE25,48,390,c_bool(False)
XE25,48,391,c_bool(False)
XE25,48,392,c_bool(False)
XE25,48,393,c_bool(False)
XE25,48,394,c_bool(False)
XE25,48,395,c_bool(False)
XE25,48,396,c_bool(False)
XE25,48,397,c_bool(False)
XE25,48,398,c_bool(False)
XE25,48,399,c_bool(False)
XE25,48,400,c_bool(False)
XE25,48,401,c_bool(False)
XE25,48,402,c_bool(False)
XE25,48,403,c_bool(False)
XE25,48,404,c_bool(False)
XE25,48,405,c_bool(False)
XE25,48,406,c_bool(False)
XE25,48,407,c_bool(False)
XE25,48,408,c_bool(False)
XE25,48,409,c_bool(False)
XE25,48,410,c_bool(False)
XE25,48,411,c_bool(False)
XE25,48,412,c_bool(False)
XE25,48,413,c_bool(False)
XE25,48,414,c_bool(False)
XE25,48,415,c_bool(False)
XE25,48,416,c_bool(False)
XE25,48,417,c_bool(False)
XE25,48,418,c_bool(False)
XE25,48,419,c_bool(False)
XE25,48,420,c_bool(False)
XE25,49,390,c_bool(False)
XE25,49,391,c_bool(False)
XE25,49,392,c_bool(False)
XE25,49,393,c_bool(False)
XE25,49,394,c_bool(False)
XE25,49,395,c_bool(False)
XE25,49,396,c_bool(False)
XE25,49,397,c_bool(False)
XE25,49,398,c_bool(False)
XE25,49,399,c_bool(False)
XE25,49,400,c_bool(False)
XE25,49,401,c_bool(False)
XE25,49,402,c_bool(False)
XE25,49,403,c_bool(False)
XE25,49,404,c_bool(False)
XE25,49,405,c_bool(False)
XE25,49,406,c_bool(False)
XE25,49,407,c_bool(False)
XE25,49,408,c_bool(False)
XE25,49,409,c_bool(False)
XE25,49,410,c_bool(False)
XE25,49,411,c_bool(False)
XE25,49,412,c_bool(False)
XE25,49,413,c_bool(False)
XE25,49,414,c_bool(False)
XE25,49,415,c_bool(False)
XE25,49,416,c_bool(False)
XE25,49,417,c_bool(False)
XE25,49,418,c_bool(False)
XE25,49,419,c_bool(False)
XE25,49,420,c_bool(False)
XE25,49,421,c_bool(False)
XE25,50,389,c_bool(False)
XE25,50,390,c_bool(False)
XE25,50,391,c_bool(False)
XE25,50,392,c_bool(False)
XE25,50,393,c_bool(False)
XE25,50,394,c_bool(False)
XE25,50,395,c_bool(False)
XE25,50,396,c_bool(False)
XE25,50,397,c_bool(False)
XE25,50,398,c_bool(False)
XE25,50,399,c_bool(False)
XE25,50,400,c_bool(False)
XE25,50,401,c_bool(False)
XE25,50,402,c_bool(False)
XE25,50,403,c_bool(False)
XE25,50,404,c_bool(False)
XE25,50,405,c_bool(False)
XE25,50,410,c_bool(False)
XE25,50,411,c_bool(False)
XE25,50,412,c_bool(False)
XE25,50,413,c_bool(False)
XE25,50,414,c_bool(False)
XE25,50,415,c_bool(False)
XE25,50,416,c_bool(False)
XE25,50,417,c_bool(False)
XE25,50,418,c_bool(False)
XE25,50,419,c_bool(False)
XE25,50,420,c_bool(False)
XE25,51,388,c_bool(False)
