RISO,G,Text
AFG,74661,c_bool(False)
AFG,74662,c_bool(False)
AFG,74663,c_bool(False)
AFG,75372,c_bool(False)
AFG,75379,c_bool(False)
AFG,75380,c_bool(False)
AFG,75381,c_bool(False)
AFG,75382,c_bool(False)
AFG,75383,c_bool(False)
AFG,75384,c_bool(False)
AFG,76090,c_bool(False)
AFG,76091,c_bool(False)
AFG,76092,c_bool(False)
AFG,76093,c_bool(False)
AFG,76094,c_bool(False)
AFG,76095,c_bool(False)
AFG,76096,c_bool(False)
AFG,76097,c_bool(False)
AFG,76098,c_bool(False)
AFG,76099,c_bool(False)
AFG,76100,c_bool(False)
AFG,76101,c_bool(False)
AFG,76102,c_bool(False)
AFG,76103,c_bool(False)
AFG,76104,c_bool(False)
AFG,76105,c_bool(False)
AFG,76106,c_bool(False)
AFG,76107,c_bool(False)
AFG,76108,c_bool(False)
AFG,76109,c_bool(False)
AFG,76110,c_bool(False)
AFG,76810,c_bool(False)
AFG,76811,c_bool(False)
AFG,76812,c_bool(False)
AFG,76813,c_bool(False)
AFG,76814,c_bool(False)
AFG,76815,c_bool(False)
AFG,76816,c_bool(False)
AFG,76817,c_bool(False)
AFG,76818,c_bool(False)
AFG,76819,c_bool(False)
AFG,76820,c_bool(False)
AFG,76821,c_bool(False)
AFG,76822,c_bool(False)
AFG,76823,c_bool(False)
AFG,76824,c_bool(False)
AFG,76825,c_bool(False)
AFG,76826,c_bool(False)
AFG,76827,c_bool(False)
AFG,76828,c_bool(False)
AFG,76829,c_bool(False)
AFG,77528,c_bool(False)
AFG,77529,c_bool(False)
AFG,77530,c_bool(False)
AFG,77531,c_bool(False)
AFG,77532,c_bool(False)
AFG,77533,c_bool(False)
AFG,77534,c_bool(False)
AFG,77535,c_bool(False)
AFG,77536,c_bool(False)
AFG,77537,c_bool(False)
AFG,77538,c_bool(False)
AFG,77539,c_bool(False)
AFG,77540,c_bool(False)
AFG,77541,c_bool(False)
AFG,77542,c_bool(False)
AFG,77543,c_bool(False)
AFG,77544,c_bool(False)
AFG,78243,c_bool(False)
AFG,78247,c_bool(False)
AFG,78248,c_bool(False)
AFG,78249,c_bool(False)
AFG,78250,c_bool(False)
AFG,78251,c_bool(False)
AFG,78252,c_bool(False)
AFG,78253,c_bool(False)
AFG,78254,c_bool(False)
AFG,78255,c_bool(False)
AFG,78256,c_bool(False)
AFG,78257,c_bool(False)
AFG,78258,c_bool(False)
AFG,78259,c_bool(False)
AFG,78260,c_bool(False)
AFG,78261,c_bool(False)
AFG,78262,c_bool(False)
AFG,78263,c_bool(False)
AFG,78264,c_bool(False)
AFG,78963,c_bool(False)
AFG,78964,c_bool(False)
AFG,78965,c_bool(False)
AFG,78966,c_bool(False)
AFG,78967,c_bool(False)
AFG,78968,c_bool(False)
AFG,78969,c_bool(False)
AFG,78970,c_bool(False)
AFG,78971,c_bool(False)
AFG,78972,c_bool(False)
AFG,78973,c_bool(False)
AFG,78974,c_bool(False)
AFG,78975,c_bool(False)
AFG,78976,c_bool(False)
AFG,78977,c_bool(False)
AFG,78978,c_bool(False)
AFG,78979,c_bool(False)
AFG,78980,c_bool(False)
AFG,78981,c_bool(False)
AFG,78982,c_bool(False)
AFG,78983,c_bool(False)
AFG,78984,c_bool(False)
AFG,79682,c_bool(False)
AFG,79683,c_bool(False)
AFG,79684,c_bool(False)
AFG,79685,c_bool(False)
AFG,79686,c_bool(False)
AFG,79687,c_bool(False)
AFG,79688,c_bool(False)
AFG,79689,c_bool(False)
AFG,79690,c_bool(False)
AFG,79691,c_bool(False)
AFG,79692,c_bool(False)
AFG,79693,c_bool(False)
AFG,79694,c_bool(False)
AFG,79695,c_bool(False)
AFG,79696,c_bool(False)
AFG,79697,c_bool(False)
AFG,79698,c_bool(False)
AFG,79699,c_bool(False)
AFG,79700,c_bool(False)
AFG,79701,c_bool(False)
AFG,79702,c_bool(False)
AFG,79703,c_bool(False)
AFG,80402,c_bool(False)
AFG,80403,c_bool(False)
AFG,80404,c_bool(False)
AFG,80405,c_bool(False)
AFG,80406,c_bool(False)
AFG,80407,c_bool(False)
AFG,80408,c_bool(False)
AFG,80409,c_bool(False)
AFG,80410,c_bool(False)
AFG,80411,c_bool(False)
AFG,80412,c_bool(False)
AFG,80413,c_bool(False)
AFG,80414,c_bool(False)
AFG,80415,c_bool(False)
AFG,80416,c_bool(False)
AFG,80417,c_bool(False)
AFG,80418,c_bool(False)
AFG,80419,c_bool(False)
AFG,80420,c_bool(False)
AFG,80421,c_bool(False)
AFG,80422,c_bool(False)
AFG,80423,c_bool(False)
AFG,81122,c_bool(False)
AFG,81123,c_bool(False)
AFG,81124,c_bool(False)
AFG,81125,c_bool(False)
AFG,81126,c_bool(False)
AFG,81127,c_bool(False)
AFG,81128,c_bool(False)
AFG,81129,c_bool(False)
AFG,81130,c_bool(False)
AFG,81131,c_bool(False)
AFG,81132,c_bool(False)
AFG,81133,c_bool(False)
AFG,81134,c_bool(False)
AFG,81135,c_bool(False)
AFG,81136,c_bool(False)
AFG,81137,c_bool(False)
AFG,81138,c_bool(False)
AFG,81139,c_bool(False)
AFG,81140,c_bool(False)
AFG,81141,c_bool(False)
AFG,81142,c_bool(False)
AFG,81842,c_bool(False)
AFG,81843,c_bool(False)
AFG,81844,c_bool(False)
AFG,81845,c_bool(False)
AFG,81846,c_bool(False)
AFG,81847,c_bool(False)
AFG,81848,c_bool(False)
AFG,81849,c_bool(False)
AFG,81850,c_bool(False)
AFG,81851,c_bool(False)
AFG,81852,c_bool(False)
AFG,81853,c_bool(False)
AFG,81854,c_bool(False)
AFG,81855,c_bool(False)
AFG,81856,c_bool(False)
AFG,81857,c_bool(False)
AFG,81858,c_bool(False)
AFG,81859,c_bool(False)
AFG,81860,c_bool(False)
AFG,81861,c_bool(False)
AFG,82562,c_bool(False)
AFG,82563,c_bool(False)
AFG,82564,c_bool(False)
AFG,82565,c_bool(False)
AFG,82566,c_bool(False)
AFG,82567,c_bool(False)
AFG,82568,c_bool(False)
AFG,82569,c_bool(False)
AFG,82570,c_bool(False)
AFG,82571,c_bool(False)
AFG,82572,c_bool(False)
AFG,82573,c_bool(False)
AFG,82574,c_bool(False)
AFG,82575,c_bool(False)
AFG,82576,c_bool(False)
AFG,82577,c_bool(False)
AFG,82578,c_bool(False)
AFG,82579,c_bool(False)
AFG,83282,c_bool(False)
AFG,83283,c_bool(False)
AFG,83284,c_bool(False)
AFG,83285,c_bool(False)
AFG,83286,c_bool(False)
AFG,83287,c_bool(False)
AFG,83288,c_bool(False)
AFG,83289,c_bool(False)
AFG,83290,c_bool(False)
AFG,83291,c_bool(False)
AFG,83292,c_bool(False)
AFG,83293,c_bool(False)
AFG,83294,c_bool(False)
AFG,83295,c_bool(False)
AFG,83296,c_bool(False)
AFG,83297,c_bool(False)
AFG,83298,c_bool(False)
AFG,83299,c_bool(False)
AFG,84002,c_bool(False)
AFG,84003,c_bool(False)
AFG,84004,c_bool(False)
AFG,84005,c_bool(False)
AFG,84006,c_bool(False)
AFG,84007,c_bool(False)
AFG,84008,c_bool(False)
AFG,84009,c_bool(False)
AFG,84010,c_bool(False)
AFG,84011,c_bool(False)
AFG,84012,c_bool(False)
AFG,84013,c_bool(False)
AFG,84014,c_bool(False)
AFG,84015,c_bool(False)
AFG,84016,c_bool(False)
AFG,84017,c_bool(False)
AFG,84018,c_bool(False)
AFG,84019,c_bool(False)
AFG,84723,c_bool(False)
AFG,84724,c_bool(False)
AFG,84725,c_bool(False)
AFG,84726,c_bool(False)
AFG,84727,c_bool(False)
AFG,84728,c_bool(False)
AFG,84729,c_bool(False)
AFG,84730,c_bool(False)
AFG,84731,c_bool(False)
AFG,84732,c_bool(False)
