basin,country,land,year,Value
GMAN,USA,total,1961,110096.54529914152
MSMM,USA,total,1961,387646.2842794507
GFCO,USA,total,1961,78315.94838835277
NACC,USA,total,1961,104941.7020030797
COLU,USA,total,1961,107095.44493059216
PACA,CAN,total,1961,68342.04762729364
PACA,USA,total,1961,153635.3815394903
SNEL,CAN,total,1961,110855.31329348312
NWTT,CAN,total,1961,296949.74489926244
HBCO,CAN,total,1961,172460.71568197175
AOSB,CAN,total,1961,56744.91536712324
STLA,CAN,total,1961,81863.83054620717
MACK,CAN,total,1961,198669.44075223943
RGBV,MEX,total,1961,23384.77274340667
MNCW,MEX,total,1961,44789.27670662796
BJCA,MEX,total,1961,14177.189411568985
MCIN,MEX,total,1961,24022.05816554231
RIVE,MEX,total,1961,18170.86087778228
RLER,MEX,total,1961,13115.645207714046
RIBA,MEX,total,1961,35866.092716191066
GRIJ,GTM,total,1961,4834.852899425679
YUPA,BLZ,total,1961,2212.9846978599844
YUPA,GTM,total,1961,3654.842906279632
YUPA,MEX,total,1961,22128.462033711232
SCAM,CRI,total,1961,5110.715613453047
SCAM,SLV,total,1961,2057.498797540615
SCAM,GTM,total,1961,2428.4531187923503
SCAM,HND,total,1961,11227.14938367427
SCAM,NIC,total,1961,12895.396551655494
SCAM,PAN,total,1961,4862.432241384517
CARI,ATG,total,1961,41.02079777266501
CARI,BHS,total,1961,1167.4314142905978
CARI,DOM,total,1961,4836.2673270329815
CARI,HTI,total,1961,2679.055207922912
CARI,JAM,total,1961,1094.3903431507156
CARC,BRB,total,1961,42.32451683702666
CARC,COL,total,1961,11321.873586504951
CARC,GRD,total,1961,33.06980876999813
CARC,LCA,total,1961,59.424382948030505
CARC,VCT,total,1961,34.36133363220338
CARC,TTO,total,1961,508.82722738377805
MAGD,COL,total,1961,26041.1262612466
ORIN,COL,total,1961,34746.068014727265
NESO,FRA,total,1961,8345.312825248928
NESO,GUY,total,1961,19900.15737319574
NESO,SUR,total,1961,14581.843991432388
AMAZ,BOL,total,1961,71622.44470021734
