year,BRA_basin_agri,CAN_basin_agri,CHN_basin_agri,CIS_basin_agri,IND_basin_agri,JPN_basin_agri,TUR_basin_agri,USA_basin_agri,XAF_basin_agri,XE25_basin_agri,XER_basin_agri,XLM_basin_agri,XME_basin_agri,XNF_basin_agri,XOC_basin_agri,XSA_basin_agri,XSE_basin_agri
2005,0.826,0.904,0.886,0.922,0.925,0.655,0.854,0.905,0.886,0.834,0.816,0.858,0.693,0.727,0.830,0.749,0.811
2010,0.831,0.884,0.883,0.914,0.922,0.653,0.835,0.903,0.885,0.825,0.811,0.863,0.689,0.730,0.826,0.755,0.805
2020,0.832,0.862,0.859,0.901,0.914,0.653,0.827,0.904,0.871,0.806,0.800,0.860,0.679,0.719,0.819,0.749,0.782
2030,0.827,0.860,0.856,0.898,0.904,0.655,0.831,0.903,0.849,0.798,0.795,0.864,0.667,0.722,0.812,0.745,0.776
2040,0.814,0.858,0.854,0.892,0.900,0.636,0.822,0.904,0.824,0.793,0.785,0.856,0.653,0.723,0.796,0.758,0.769
2050,0.808,0.854,0.847,0.883,0.895,0.641,0.822,0.899,0.805,0.791,0.771,0.850,0.637,0.721,0.782,0.768,0.764
2060,0.800,0.848,0.841,0.875,0.891,0.637,0.818,0.899,0.788,0.788,0.757,0.844,0.620,0.717,0.765,0.769,0.759
2070,0.792,0.839,0.833,0.869,0.888,0.625,0.815,0.909,0.776,0.782,0.742,0.832,0.602,0.714,0.722,0.766,0.754
2080,0.784,0.831,0.834,0.864,0.884,0.610,0.802,0.908,0.766,0.780,0.734,0.818,0.584,0.719,0.684,0.762,0.749
2090,0.773,0.824,0.829,0.859,0.882,0.596,0.789,0.901,0.754,0.776,0.732,0.808,0.576,0.732,0.636,0.760,0.747
2100,0.758,0.821,0.820,0.854,0.877,0.580,0.777,0.894,0.744,0.770,0.729,0.803,0.564,0.737,0.607,0.756,0.749
