year,BRA_region_grassland,CAN_region_grassland,CHN_region_grassland,CIS_region_grassland,IND_region_grassland,JPN_region_grassland,TUR_region_grassland,USA_region_grassland,XAF_region_grassland,XE25_region_grassland,XER_region_grassland,XLM_region_grassland,XME_region_grassland,XNF_region_grassland,XOC_region_grassland,XSA_region_grassland,XSE_region_grassland
2005,0.921,0.847,0.929,0.936,0.440,0.776,0.874,0.924,0.931,0.871,0.787,0.885,0.920,0.843,0.925,0.910,0.905
2010,0.921,0.847,0.929,0.936,0.440,0.776,0.874,0.924,0.931,0.871,0.787,0.885,0.920,0.843,0.925,0.910,0.905
2020,0.921,0.836,0.931,0.937,0.455,0.778,0.872,0.923,0.930,0.871,0.787,0.885,0.917,0.843,0.926,0.910,0.905
2030,0.924,0.821,0.926,0.936,0.490,0.777,0.867,0.921,0.928,0.870,0.787,0.885,0.914,0.841,0.925,0.910,0.903
2040,0.926,0.821,0.922,0.935,0.459,0.777,0.864,0.919,0.928,0.870,0.788,0.885,0.911,0.839,0.924,0.910,0.902
2050,0.927,0.821,0.916,0.935,0.529,0.777,0.862,0.917,0.929,0.869,0.789,0.885,0.909,0.836,0.924,0.910,0.902
2060,0.925,0.821,0.906,0.934,0.587,0.778,0.862,0.905,0.929,0.868,0.791,0.885,0.908,0.836,0.923,0.910,0.902
2070,0.922,0.821,0.893,0.933,0.624,0.777,0.863,0.880,0.930,0.867,0.791,0.885,0.909,0.836,0.924,0.910,0.901
2080,0.917,0.821,0.878,0.932,0.643,0.757,0.863,0.864,0.930,0.865,0.791,0.885,0.909,0.836,0.926,0.910,0.899
2090,0.899,0.821,0.885,0.932,0.641,0.725,0.857,0.845,0.930,0.863,0.791,0.885,0.907,0.836,0.927,0.910,0.899
2100,0.860,0.821,0.897,0.931,0.615,0.725,0.839,0.813,0.930,0.862,0.790,0.885,0.900,0.835,0.927,0.910,0.899
