region,year,type,value
AFG_AMDA,2005,FRS,686.8538191254806
AFG_AMDA,2005,GL,4424.723658691386
AFG_AMDA,2005,CL,1390.6089125099954
AFG_AMDA,2050,FRS,466.1853906810031
AFG_AMDA,2050,GL,4194.913265261424
AFG_AMDA,2050,CL,1602.3474005645835
AFG_AMDA,2100,FRS,1350.0875690804612
AFG_AMDA,2100,GL,5804.519997345538
AFG_AMDA,2100,CL,2981.685086388288
AFG_CSEC,2005,FRS,41.42449949249448
AFG_CSEC,2005,GL,3018.934001019249
AFG_CSEC,2005,CL,535.2621409331961
AFG_CSEC,2050,FRS,46.00005227564254
AFG_CSEC,2050,GL,2975.8843970240778
AFG_CSEC,2050,CL,792.4942145753876
AFG_CSEC,2100,FRS,100.4227017909453
AFG_CSEC,2100,GL,5145.846032663011
AFG_CSEC,2100,CL,1268.357230171237
AFG_FARA,2005,FRS,2.123793599928018
AFG_FARA,2005,GL,1536.9822849991642
AFG_FARA,2005,CL,89.88869812754642
AFG_FARA,2050,FRS,1.318359706609493
AFG_FARA,2050,GL,1377.636625830537
AFG_FARA,2050,CL,131.10905305657312
AFG_FARA,2100,FRS,1.4155755698182262
AFG_FARA,2100,GL,1319.5478142694544
AFG_FARA,2100,CL,95.13127873242532
AFG_HELM,2005,FRS,0.2246435478231412
AFG_HELM,2005,GL,11400.175281726844
AFG_HELM,2005,CL,771.0211084381274
AFG_HELM,2050,GL,10536.943180573358
AFG_HELM,2050,CL,1487.876121305048
AFG_HELM,2100,FRS,0.0037021573015666
AFG_HELM,2100,GL,15175.825418057597
AFG_HELM,2100,CL,2253.172601073476
AFG_INDU,2005,FRS,587.2325974371196
AFG_INDU,2005,GL,1099.0334368856968
AFG_INDU,2005,CL,238.5126898479004
AFG_INDU,2050,FRS,493.1768853490649
AFG_INDU,2050,GL,1020.5016338947494
AFG_INDU,2050,CL,268.54582715650133
AFG_INDU,2100,FRS,1639.399516194048
AFG_INDU,2100,GL,1905.124588406139
AFG_INDU,2100,CL,785.4099194478902
AGO_ANGC,2005,FRS,3618.598435149792
AGO_ANGC,2005,GL,19571.608002818783
AGO_ANGC,2005,CL,1728.9359380069195
AGO_ANGC,2050,FRS,1354.172304435665
AGO_ANGC,2050,GL,7840.542193288143
AGO_ANGC,2050,CL,1754.6920966355417
AGO_ANGC,2100,FRS,920.342392009261
AGO_ANGC,2100,GL,7621.39421991077
AGO_ANGC,2100,CL,708.7183994250197
AGO_ASII,2005,FRS,914.0585501522906
AGO_ASII,2005,GL,6871.21345974833
AGO_ASII,2005,CL,619.7522971631223
AGO_ASII,2050,FRS,580.3538176896067
AGO_ASII,2050,GL,2199.078774342958
AGO_ASII,2050,CL,537.6534549545114
AGO_ASII,2100,FRS,405.8110441478856
AGO_ASII,2100,GL,2253.2276211089275
AGO_ASII,2100,CL,240.7740221503502
AGO_CONG,2005,FRS,8765.620298577993
AGO_CONG,2005,GL,8360.786483942618
AGO_CONG,2005,CL,339.31851434645887
AGO_CONG,2050,FRS,5092.631183066093
AGO_CONG,2050,GL,2637.2336051121265
AGO_CONG,2050,CL,411.64573833034166
AGO_CONG,2100,FRS,3774.533235773944
AGO_CONG,2100,GL,1823.232417766855
AGO_CONG,2100,CL,174.95673173444186
AGO_ZAMB,2005,FRS,2197.34979363466
AGO_ZAMB,2005,GL,12108.898962538366
AGO_ZAMB,2005,CL,493.387740381651
AGO_ZAMB,2050,FRS,1676.7521734873926
AGO_ZAMB,2050,GL,4895.740506569646
AGO_ZAMB,2050,CL,497.1197403195849
AGO_ZAMB,2100,FRS,1348.7198319061656
AGO_ZAMB,2100,GL,3591.3947070971644
AGO_ZAMB,2100,CL,184.9577947182416
ALB_AGBS,2005,FRS,1341.7283718575718
ALB_AGBS,2005,GL,191.2474936420358
ALB_AGBS,2005,CL,414.73845888149737
ALB_AGBS,2050,FRS,1238.597708329953
ALB_AGBS,2050,GL,208.19217188301235
ALB_AGBS,2050,CL,554.4031071327918
ALB_AGBS,2100,FRS,1104.2892547233205
ALB_AGBS,2100,GL,215.7650169633286
ALB_AGBS,2100,CL,729.4551558927726
ARE_ARPA,2005,GL,5865.309521943781
ARE_ARPA,2005,CL,187.27053960671927
ARE_ARPA,2050,GL,5689.565724301498
ARE_ARPA,2050,CL,28.03853640871064
ARE_ARPA,2100,GL,5041.982377391357
ARE_ARPA,2100,CL,18.40835955794985
ARG_LAPL,2005,FRS,6394.789793036791
ARG_LAPL,2005,GL,46358.74644033904
ARG_LAPL,2005,CL,14692.811974028156
ARG_LAPL,2050,FRS,4430.608259925677
ARG_LAPL,2050,GL,32935.27947700436
ARG_LAPL,2050,CL,20889.274829320995
ARG_LAPL,2100,FRS,3829.134458773464
ARG_LAPL,2100,GL,29087.768094159
ARG_LAPL,2100,CL,21127.01439916352
ARG_NASA,2005,FRS,115.28441594090204
ARG_NASA,2005,GL,5056.070470115485
ARG_NASA,2005,CL,7955.638508170056
ARG_NASA,2050,FRS,79.60167457211186
ARG_NASA,2050,GL,2785.627990740073
ARG_NASA,2050,CL,8185.6528486011985
ARG_NASA,2100,FRS,65.1181552253426
ARG_NASA,2100,GL,2746.502803468628
ARG_NASA,2100,CL,6544.596660907996
ARG_NEGR,2005,FRS,1105.9742464574492
ARG_NEGR,2005,GL,8662.782964295697
ARG_NEGR,2005,CL,125.71786682264478
ARG_NEGR,2050,FRS,813.6574902525849
ARG_NEGR,2050,GL,4854.040710357404
ARG_NEGR,2050,CL,132.77599619080596
ARG_NEGR,2100,FRS,788.5884737791188
ARG_NEGR,2100,GL,5378.954319210512
ARG_NEGR,2100,CL,72.17490148708946
ARG_PAMP,2005,FRS,0.77450142043314
ARG_PAMP,2005,GL,3059.6535347462404
ARG_PAMP,2005,CL,5934.260502409687
ARG_PAMP,2050,GL,1947.2356722996683
ARG_PAMP,2050,CL,5976.618881252008
ARG_PAMP,2100,FRS,0.0041170241912478
ARG_PAMP,2100,GL,1801.3359834186588
ARG_PAMP,2100,CL,4407.508292977764
ARG_SACC,2005,FRS,120.89851840447658
ARG_SACC,2005,GL,9851.157776967984
ARG_SACC,2005,CL,395.9146767451623
ARG_SACC,2050,FRS,120.59598706056718
ARG_SACC,2050,GL,8346.51893861435
ARG_SACC,2050,CL,562.1521509880941
ARG_SACC,2100,FRS,121.955960869193
ARG_SACC,2100,GL,8300.596705931814
ARG_SACC,2100,CL,434.8348378313413
ARG_SASS,2005,FRS,1780.062286823799
ARG_SASS,2005,GL,26515.362340182703
ARG_SASS,2005,CL,29.68569590360204
ARG_SASS,2050,FRS,1472.3517928469582
ARG_SASS,2050,GL,18913.43248699251
ARG_SASS,2050,CL,31.38964018337089
ARG_SASS,2100,FRS,1264.6394633078355
ARG_SASS,2100,GL,15815.718404445455
ARG_SASS,2100,CL,18.80637294007934
ARG_SGRN,2005,FRS,5.967127049825593
ARG_SGRN,2005,GL,10806.55397307484
ARG_SGRN,2005,CL,3197.6402807805184
ARG_SGRN,2050,GL,5516.34564922687
ARG_SGRN,2050,CL,3860.78135905106
ARG_SGRN,2100,FRS,0.2398403531958769
ARG_SGRN,2100,GL,4853.694157312259
ARG_SGRN,2100,CL,3531.0908374972305
ARM_CSSW,2005,FRS,245.73313272340096
ARM_CSSW,2005,GL,609.8447898756312
ARM_CSSW,2005,CL,270.1771006461795
ARM_CSSW,2050,FRS,17.558297199028416
ARM_CSSW,2050,GL,641.860130905745
ARM_CSSW,2050,CL,435.374173257848
ARM_CSSW,2100,FRS,22.038180908934983
ARM_CSSW,2100,GL,706.6039308538531
ARM_CSSW,2100,CL,263.3637983680002
ATG_CARI,2005,GL,43.18298163269683
ATG_CARI,2050,GL,43.24805905718421
ATG_CARI,2100,GL,43.4044675035312
AUS_AEAC,2005,FRS,10309.234640888626
AUS_AEAC,2005,GL,24724.340234653533
AUS_AEAC,2005,CL,7296.922082987549
