country,Area
AFG,64239.26974039028
AGO,124850.12063133219
ALB,2820.2420419182263
ARE,7092.059696561437
ARG,278354.63179829804
ARM,2955.943569062315
ATG,41.02079777266501
AUS,769564.096346731
AUT,8376.130072407734
AZE,8561.22013679014
BDI,2715.099703144157
BEL,3049.5710206585354
BEN,11640.30406554819
BFA,27384.82221623086
BGD,13661.98540182495
BGR,11254.614580560457
BHR,56.35179308956917
BHS,1167.4314142905978
BIH,5171.023012452446
BLR,20662.25611362428
BLZ,2212.9846978599844
BOL,109042.76704749581
BRA,850302.482167778
BRB,42.32451683702666
BTN,4041.7450635384594
BWA,58048.831931614965
CAF,62061.773680208906
CAN,985886.0081675807
CHE,4134.954144044864
CHL,72749.22752150611
CHN,937649.3421918098
CIV,32186.797326305492
CMR,46616.813541753654
COD,233541.5228694192
COG,34645.88688938065
COL,113884.45095361581
COM,156.65092022756048
CRI,5110.715613453047
CYP,889.9879471741424
CZE,7847.73461089597
DEU,35598.9903132741
DJI,2184.3939859203983
DNK,4190.516376512446
DOM,4836.2673270329815
DZA,231203.04452152975
ECU,25538.24829782761
EGY,100235.71104965388
ESP,50569.087456162
EST,4500.808264306963
ETH,113208.56622896608
FIN,33003.27656984259
FJI,1734.3235032306957
FRA,63247.08698297913
GAB,26074.5561377165
GBR,24215.823201253457
GEO,6933.753215769604
GHA,23910.618067981937
GIN,24521.0795218153
GMB,1041.6300916867106
GNB,3271.070101176308
GRC,13009.745507121484
GRD,33.06980876999813
GTM,10918.148924497662
GUY,21205.947400867917
HKG,100.9288356883992
HND,11227.14938367427
HRV,5466.723479814972
HTI,2679.055207922912
HUN,9293.36289291611
IDN,187279.37625941262
IND,308721.16663535644
IRL,6913.15700699567
IRN,162201.95577509396
IRQ,43760.39273547638
ISL,10093.169732766512
ISR,2062.124585571861
ITA,30000.578340544744
JAM,1094.3903431507156
JOR,8893.188410835688
JPN,37037.50342316783
KAZ,270940.69165853993
KEN,58487.67537193274
KGZ,19871.706457889948
KHM,18174.961272411278
KOR,9767.452358014923
KWT,1742.4498116402392
LAO,22883.13396392512
LBN,993.0402040603063
LBR,9572.640123906687
LBY,162582.3202304869
LCA,59.424382948030505
LKA,6600.5158370443705
LSO,3014.536471581822
LTU,6458.31537291752
LUX,260.6016095369177
LVA,6410.13177802739
MAC,2.206788382094055
MAR,41346.11756478164
MDA,3311.6608125273933
MDG,59206.8980035385
MEX,195654.35786254457
MKD,2535.198897117235
MLI,125681.26781381344
MLT,29.389306099385387
MMR,66425.51649245413
MNE,1369.7085057602112
MNG,156052.20663442372
MOZ,79037.96750286248
MRT,103892.62456405204
MWI,11980.851609500825
MYS,32802.65558771373
NAM,82444.53380218314
NER,118513.77236376463
NGA,91110.51806232994
NIC,12895.396551655494
NLD,3515.55154371925
NOR,37072.63124344133
NPL,14730.130831149034
NZL,26261.458420949773
OMN,31124.73630837489
PAK,87320.7396468259
PAN,7458.751900561953
PER,129420.78199438182
PHL,28912.62030511717
PNG,46245.17244904572
POL,31183.805595154092
PRT,8844.258912851668
PRY,40086.75624648364
QAT,1108.894043862939
ROU,23574.561063323727
RUS,1680352.7411522928
RWA,2542.2269412376336
SAU,192480.40409767535
SDN,185288.47919720606
SEN,19674.4115093311
SLB,2591.3333491612434
SLE,7196.954952735978
SLV,2057.498797540615
SRB,7742.567715060346
STP,100.6064975773982
SUR,14581.843991432388
SVK,4833.896308624353
SVN,2025.8968804588808
SWE,44167.9198456344
SWZ,1713.8388188946046
TCD,127074.04429374784
TGO,5708.2047337316435
THA,51545.770572495065
TJK,14211.906426667894
TKM,46948.74888322649
TLS,1503.0736714089078
TTO,508.82722738377805
TUN,15638.536574164395
TUR,77858.8605770915
TZA,94529.00939809826
UGA,24293.84776015637
UKR,59653.69136693508
URY,17716.09393070099
USA,941731.3064401072
UZB,44719.556308896754
VCT,34.36133363220338
VNM,32892.028088145125
VUT,1123.9953864264153
ZAF,122093.22088571773
ZMB,75471.21362871604
ZWE,39052.21807865759
