basin,city,land,year,Value
GMAN,USA,total,1961,110096.54529914152
GMAN,USA,total,1962,110096.54529914152
GMAN,USA,total,1963,110096.54529914152
GMAN,USA,total,1964,110096.54529914152
GMAN,USA,total,1965,110096.54529914152
GMAN,USA,total,1966,110096.54529914152
GMAN,USA,total,1967,110096.54529914152
GMAN,USA,total,1968,110096.54529914152
GMAN,USA,total,1969,110096.54529914152
GMAN,USA,total,1970,110096.54529914152
GMAN,USA,total,1971,110096.54529914152
GMAN,USA,total,1972,110096.54529914152
GMAN,USA,total,1973,110096.54529914152
GMAN,USA,total,1974,110096.54529914152
GMAN,USA,total,1975,110096.54529914152
GMAN,USA,total,1976,110096.54529914152
GMAN,USA,total,1977,110096.54529914152
GMAN,USA,total,1978,110096.54529914152
GMAN,USA,total,1979,110096.54529914152
GMAN,USA,total,1980,110096.54529914152
GMAN,USA,total,1981,110096.54529914152
GMAN,USA,total,1982,110096.54529914152
GMAN,USA,total,1983,110096.54529914152
GMAN,USA,total,1984,110096.54529914152
GMAN,USA,total,1985,110096.54529914152
GMAN,USA,total,1986,110096.54529914152
GMAN,USA,total,1987,110096.54529914152
GMAN,USA,total,1988,110096.54529914152
GMAN,USA,total,1989,110096.54529914152
GMAN,USA,total,1990,110096.54529914152
GMAN,USA,total,1991,110096.54529914152
GMAN,USA,total,1992,110096.54529914152
GMAN,USA,total,1993,110096.54529914152
GMAN,USA,total,1994,110096.54529914152
GMAN,USA,total,1995,110096.54529914152
GMAN,USA,total,1996,110096.54529914152
GMAN,USA,total,1997,110096.54529914152
GMAN,USA,total,1998,110096.54529914152
GMAN,USA,total,1999,110096.54529914152
GMAN,USA,total,2000,110096.54529914152
GMAN,USA,total,2001,110096.54529914152
GMAN,USA,total,2002,110096.54529914152
GMAN,USA,total,2003,110096.54529914152
GMAN,USA,total,2004,110096.54529914152
GMAN,USA,total,2005,110096.54529914152
GMAN,USA,total,2006,110096.54529914152
GMAN,USA,total,2007,110096.54529914152
GMAN,USA,total,2008,110096.54529914152
GMAN,USA,total,2009,110096.54529914152
GMAN,USA,total,2010,110096.54529914152
GMAN,USA,total,2011,110096.54529914152
GMAN,USA,total,2012,110096.54529914152
GMAN,USA,total,2013,110096.54529914152
GMAN,USA,total,2014,110096.54529914152
GMAN,USA,total,2015,110096.54529914152
GMAN,USA,total,2016,110096.54529914152
GMAN,USA,total,2017,110096.54529914152
GMAN,USA,total,2018,110096.54529914152
GMAN,USA,total,2019,110096.54529914152
GMAN,USA,total,2020,110096.54529914152
GMAN,USA,total,2021,110096.54529914152
GMAN,USA,total,2022,110096.54529914152
GMAN,USA,total,2023,110096.54529914152
GMAN,USA,total,2024,110096.54529914152
GMAN,USA,total,2025,110096.54529914152
GMAN,USA,total,2026,110096.54529914152
GMAN,USA,total,2027,110096.54529914152
GMAN,USA,total,2028,110096.54529914152
GMAN,USA,total,2029,110096.54529914152
GMAN,USA,total,2030,110096.54529914152
GMAN,USA,total,2031,110096.54529914152
GMAN,USA,total,2032,110096.54529914152
GMAN,USA,total,2033,110096.54529914152
GMAN,USA,total,2034,110096.54529914152
GMAN,USA,total,2035,110096.54529914152
GMAN,USA,total,2036,110096.54529914152
GMAN,USA,total,2037,110096.54529914152
GMAN,USA,total,2038,110096.54529914152
GMAN,USA,total,2039,110096.54529914152
GMAN,USA,total,2040,110096.54529914152
GMAN,USA,total,2041,110096.54529914152
GMAN,USA,total,2042,110096.54529914152
GMAN,USA,total,2043,110096.54529914152
GMAN,USA,total,2044,110096.54529914152
GMAN,USA,total,2045,110096.54529914152
GMAN,USA,total,2046,110096.54529914152
GMAN,USA,total,2047,110096.54529914152
GMAN,USA,total,2048,110096.54529914152
GMAN,USA,total,2049,110096.54529914152
GMAN,USA,total,2050,110096.54529914152
GMAN,USA,total,2051,110096.54529914152
GMAN,USA,total,2052,110096.54529914152
GMAN,USA,total,2053,110096.54529914152
GMAN,USA,total,2054,110096.54529914152
GMAN,USA,total,2055,110096.54529914152
GMAN,USA,total,2056,110096.54529914152
GMAN,USA,total,2057,110096.54529914152
GMAN,USA,total,2058,110096.54529914152
GMAN,USA,total,2059,110096.54529914152
GMAN,USA,total,2060,110096.54529914152
GMAN,USA,total,2061,110096.54529914152
GMAN,USA,total,2062,110096.54529914152
GMAN,USA,total,2063,110096.54529914152
GMAN,USA,total,2064,110096.54529914152
GMAN,USA,total,2065,110096.54529914152
GMAN,USA,total,2066,110096.54529914152
GMAN,USA,total,2067,110096.54529914152
GMAN,USA,total,2068,110096.54529914152
GMAN,USA,total,2069,110096.54529914152
GMAN,USA,total,2070,110096.54529914152
GMAN,USA,total,2071,110096.54529914152
GMAN,USA,total,2072,110096.54529914152
GMAN,USA,total,2073,110096.54529914152
GMAN,USA,total,2074,110096.54529914152
GMAN,USA,total,2075,110096.54529914152
GMAN,USA,total,2076,110096.54529914152
GMAN,USA,total,2077,110096.54529914152
GMAN,USA,total,2078,110096.54529914152
GMAN,USA,total,2079,110096.54529914152
GMAN,USA,total,2080,110096.54529914152
GMAN,USA,total,2081,110096.54529914152
GMAN,USA,total,2082,110096.54529914152
GMAN,USA,total,2083,110096.54529914152
GMAN,USA,total,2084,110096.54529914152
GMAN,USA,total,2085,110096.54529914152
GMAN,USA,total,2086,110096.54529914152
GMAN,USA,total,2087,110096.54529914152
GMAN,USA,total,2088,110096.54529914152
GMAN,USA,total,2089,110096.54529914152
GMAN,USA,total,2090,110096.54529914152
GMAN,USA,total,2091,110096.54529914152
GMAN,USA,total,2092,110096.54529914152
GMAN,USA,total,2093,110096.54529914152
GMAN,USA,total,2094,110096.54529914152
GMAN,USA,total,2095,110096.54529914152
GMAN,USA,total,2096,110096.54529914152
GMAN,USA,total,2097,110096.54529914152
GMAN,USA,total,2098,110096.54529914152
GMAN,USA,total,2099,110096.54529914152
GMAN,USA,total,2100,110096.54529914152
GMAN,USA,primf,1961,20577.04766066606
GMAN,USA,primf,1962,20255.11268452848
GMAN,USA,primf,1963,19929.985384050582
GMAN,USA,primf,1964,19609.669343697606
GMAN,USA,primf,1965,19269.116937576662
GMAN,USA,primf,1966,18920.32168026755
GMAN,USA,primf,1967,18562.76907863051
GMAN,USA,primf,1968,18212.47313562112
GMAN,USA,primf,1969,17846.85430751341
GMAN,USA,primf,1970,17479.962454771445
GMAN,USA,primf,1971,17111.52009663226
GMAN,USA,primf,1972,16738.86749620438
GMAN,USA,primf,1973,16369.049320540373
GMAN,USA,primf,1974,15995.890825138287
GMAN,USA,primf,1975,15621.861286648622
GMAN,USA,primf,1976,15286.250308806146
GMAN,USA,primf,1977,14921.698188272412
GMAN,USA,primf,1978,14549.562714461103
GMAN,USA,primf,1979,14137.958730270058
GMAN,USA,primf,1980,13710.361835678783
GMAN,USA,primf,1981,13302.241709386528
GMAN,USA,primf,1982,12899.682587882291
GMAN,USA,primf,1983,12494.777800473852
GMAN,USA,primf,1984,12058.211890686103
GMAN,USA,primf,1985,11594.584683781632
GMAN,USA,primf,1986,11144.288956131704
GMAN,USA,primf,1987,10661.782944387785
GMAN,USA,primf,1988,10185.191123635657
GMAN,USA,primf,1989,9714.713099804863
GMAN,USA,primf,1990,9246.755939861778
GMAN,USA,primf,1991,8747.561299953417
GMAN,USA,primf,1992,8265.509377761662
GMAN,USA,primf,1993,7803.8560321351015
GMAN,USA,primf,1994,7357.696645534235
GMAN,USA,primf,1995,6919.953972894911
GMAN,USA,primf,1996,6495.391280373445
GMAN,USA,primf,1997,6088.14417770548
GMAN,USA,primf,1998,5691.262609418262
GMAN,USA,primf,1999,5301.949996423828
GMAN,USA,primf,2000,4925.142546745089
GMAN,USA,primf,2001,4572.360825989295
GMAN,USA,primf,2002,4245.631314756044
GMAN,USA,primf,2003,3921.546551614048
GMAN,USA,primf,2004,3618.5447385787693
GMAN,USA,primf,2005,3316.6533328458418
GMAN,USA,primf,2006,3029.4437858897745
GMAN,USA,primf,2007,2747.6611780151657
GMAN,USA,primf,2008,2511.298778896868
GMAN,USA,primf,2009,2313.6160229755596
GMAN,USA,primf,2010,2149.9171956965965
GMAN,USA,primf,2011,1978.333135971982
GMAN,USA,primf,2012,1810.5915564826469
GMAN,USA,primf,2013,1655.091101730662
GMAN,USA,primf,2014,1509.1362277112014
GMAN,USA,primf,2015,1368.8685464053983
GMAN,USA,primf,2016,1236.254864005847
GMAN,USA,primf,2017,1116.4096930231979
GMAN,USA,primf,2018,1005.9467493335485
GMAN,USA,primf,2019,904.2324585695198
GMAN,USA,primf,2020,810.7174979065054
GMAN,USA,primn,1961,4464.191153600109
GMAN,USA,primn,1962,4453.556818269727
GMAN,USA,primn,1963,4442.921247907834
GMAN,USA,primn,1964,4432.284430227186
GMAN,USA,primn,1965,4421.6463859612995
GMAN,USA,primn,1966,4411.007112451312
GMAN,USA,primn,1967,4400.3666282107715
GMAN,USA,primn,1968,4389.7248896925985
GMAN,USA,primn,1969,4379.081966051819
GMAN,USA,primn,1970,4368.437828834475
GMAN,USA,primn,1971,4358.360077067293
GMAN,USA,primn,1972,4348.281870345772
GMAN,USA,primn,1973,4338.20320832255
GMAN,USA,primn,1974,4328.124103007869
GMAN,USA,primn,1975,4318.044588619211
GMAN,USA,primn,1976,4307.964633605689
GMAN,USA,primn,1977,4297.884304375613
GMAN,USA,primn,1978,4287.803565735621
GMAN,USA,primn,1979,4277.722462996984
GMAN,USA,primn,1980,4267.640987315384
GMAN,USA,primn,1981,4266.870788194826
GMAN,USA,primn,1982,4266.098933279214
GMAN,USA,primn,1983,4265.3254262604505
GMAN,USA,primn,1984,4264.550307833158
GMAN,USA,primn,1985,4263.77359548025
GMAN,USA,primn,1986,4262.995298185979
GMAN,USA,primn,1987,4262.215450176109
GMAN,USA,primn,1988,4261.434039253869
GMAN,USA,primn,1989,4260.651099280693
GMAN,USA,primn,1990,4259.86663115557
GMAN,USA,primn,1991,4224.654473488038
GMAN,USA,primn,1992,4189.434328455496
GMAN,USA,primn,1993,4154.206331455363
GMAN,USA,primn,1994,4118.97065332609
GMAN,USA,primn,1995,4083.7273265566355
GMAN,USA,primn,1996,4048.476538913927
GMAN,USA,primn,1997,4013.218461317182
GMAN,USA,primn,1998,3977.9532779364185
