year,BRA_basin_forest,CAN_basin_forest,CHN_basin_forest,CIS_basin_forest,IND_basin_forest,JPN_basin_forest,TUR_basin_forest,USA_basin_forest,XAF_basin_forest,XE25_basin_forest,XER_basin_forest,XLM_basin_forest,XME_basin_forest,XNF_basin_forest,XOC_basin_forest,XSA_basin_forest,XSE_basin_forest
2005,0.936,0.920,0.799,0.863,0.503,0.742,0.266,0.840,0.797,0.690,0.781,0.819,0.369,0.476,0.571,0.745,0.803
2010,0.937,0.920,0.795,0.863,0.505,0.741,0.271,0.840,0.798,0.690,0.781,0.820,0.369,0.470,0.570,0.745,0.801
2020,0.937,0.919,0.791,0.862,0.498,0.741,0.273,0.840,0.796,0.688,0.781,0.820,0.353,0.426,0.572,0.746,0.799
2030,0.935,0.919,0.793,0.862,0.470,0.742,0.275,0.841,0.788,0.691,0.779,0.820,0.338,0.332,0.565,0.746,0.795
2040,0.932,0.919,0.791,0.862,0.455,0.743,0.280,0.840,0.766,0.688,0.778,0.822,0.343,0.331,0.570,0.746,0.792
2050,0.931,0.919,0.787,0.861,0.443,0.743,0.281,0.838,0.747,0.686,0.777,0.824,0.348,0.337,0.564,0.746,0.792
2060,0.935,0.919,0.782,0.861,0.435,0.743,0.283,0.834,0.731,0.684,0.775,0.824,0.354,0.348,0.557,0.744,0.792
2070,0.938,0.918,0.780,0.860,0.430,0.743,0.283,0.831,0.715,0.682,0.774,0.826,0.362,0.367,0.544,0.742,0.792
2080,0.937,0.918,0.779,0.860,0.423,0.743,0.285,0.827,0.699,0.680,0.773,0.827,0.366,0.379,0.515,0.739,0.790
2090,0.933,0.917,0.767,0.860,0.421,0.744,0.286,0.823,0.701,0.679,0.773,0.828,0.356,0.405,0.488,0.734,0.788
2100,0.932,0.917,0.747,0.859,0.420,0.744,0.287,0.820,0.707,0.678,0.773,0.826,0.329,0.421,0.481,0.730,0.788
