year,BRA_region_forest,CAN_region_forest,CHN_region_forest,CIS_region_forest,IND_region_forest,JPN_region_forest,TUR_region_forest,USA_region_forest,XAF_region_forest,XE25_region_forest,XER_region_forest,XLM_region_forest,XME_region_forest,XNF_region_forest,XOC_region_forest,XSA_region_forest,XSE_region_forest
2005,0.9144542011264324,0.8972252035095066,0.7810243061973039,0.8498954067403861,0.5407239638277246,0.7415644920407855,0.175129950587267,0.8264461433157253,0.753724372892482,0.6108007472781406,0.739226504579933,0.7662726081066329,0.3416059259898101,0.6206177079535227,0.5097389470011655,0.7222960107529031,0.8171547603168848
2010,0.9137699231251228,0.8964160628713053,0.7757194300262913,0.8473784804812875,0.5401626628195879,0.7414437767524202,0.17746411155630812,0.8265914580247647,0.7538224216720905,0.6093858930920804,0.7396728956121981,0.7662356173494577,0.3329860830331243,0.6293027342713339,0.5097587693080541,0.722442395694869,0.8151227993219633
2020,0.9143405881873112,0.895704855312235,0.7696236742120128,0.8473283849942197,0.5396339952383076,0.7409930995542127,0.17732718137436385,0.8260782821774378,0.7583293506227161,0.6050340070502981,0.7401110020847373,0.7670573673120833,0.32101849285818884,0.604409072931213,0.5091732863484559,0.7244309974266078,0.8156405409766296
2030,0.9146966049748674,0.8956763522257111,0.7731463779649735,0.8475609971274096,0.5213303469002384,0.7421922185434601,0.17644568375072944,0.826228327433074,0.7601976354177337,0.6040898019780945,0.7400912697455603,0.7675894375948227,0.30342917038821204,0.5308384239466533,0.4935273133931359,0.7259635121122964,0.8135079475271402
2040,0.9149451961872048,0.8961276549285531,0.7785378338815792,0.8476590186815823,0.5083102572781151,0.7425176954616695,0.17611040727972482,0.8247407001341884,0.761195933982631,0.6038527012070916,0.7393448212310542,0.768166956712403,0.28275731456143166,0.47272870082984386,0.4726549547920723,0.7251630772332911,0.8101641231809491
2050,0.9152272865136566,0.8964044412669917,0.7838358628704325,0.8476000988325861,0.4994323778247486,0.7425385458076322,0.16931850760116102,0.8218702241212952,0.7616636966508454,0.6034843898731665,0.7386980941912626,0.7683509260416106,0.26627243364494574,0.4308712587648104,0.45975252381143383,0.7196974397313498,0.8079692117725212
2060,0.9164688866514296,0.8966250311463425,0.7882274095458528,0.847299903703708,0.49346655452031724,0.7426674422250504,0.16264133457670318,0.8156913832196077,0.7619322209179011,0.6019506500316547,0.7387263817711617,0.7679821619158314,0.2600380624107244,0.41677959646862917,0.4385140240548036,0.7113348673123693,0.8072235951375617
2070,0.9156526580305137,0.8968296504302143,0.7870319632549841,0.8468123988835119,0.4867882744263309,0.7428874156388477,0.15738623656286538,0.8078358819810805,0.7619114359742354,0.5989957945013085,0.7386463523966156,0.7674428619146835,0.26060859989291546,0.4377862231912874,0.3533592584964554,0.7016731722791433,0.8070208403335442
2080,0.9128225146496571,0.8970506373152707,0.7849333121904908,0.8462432246752808,0.4813933397930492,0.7432891764813004,0.1533785327108903,0.8004428431426955,0.7614732029489449,0.5961844607833396,0.7383765725926005,0.7668538309575281,0.2522123404825129,0.4575493635414311,0.34013172118410584,0.7011861987567664,0.8060624406741504
2090,0.9076943897685207,0.8972539894897422,0.7801480471432463,0.8458372822179645,0.4809994859539251,0.7435418159284306,0.15486607464339422,0.7935286556958058,0.76133104713922,0.5946917601327601,0.7382127914218556,0.7662079986332482,0.23725240668216266,0.48864715170096373,0.34332758719867545,0.6992463270771989,0.8044871229489505
2100,0.9031470014949355,0.8973266642382415,0.7715064784852147,0.8456427387174238,0.4834340414355824,0.743732663403027,0.148852279698259,0.789124995730871,0.7625402904806808,0.594193931979232,0.738149562120225,0.7655751554186958,0.20780593155384905,0.5110465867608448,0.34315590228034565,0.6984835610718323,0.8025682197032071
