year,BRA_region_agri,CAN_region_agri,CHN_region_agri,CIS_region_agri,IND_region_agri,JPN_region_agri,TUR_region_agri,USA_region_agri,XAF_region_agri,XE25_region_agri,XER_region_agri,XLM_region_agri,XME_region_agri,XNF_region_agri,XOC_region_agri,XSA_region_agri,XSE_region_agri
2005,0.848,0.903,0.900,0.928,0.926,0.655,0.842,0.924,0.896,0.855,0.818,0.863,0.688,0.745,0.831,0.803,0.804
2010,0.851,0.879,0.895,0.924,0.923,0.653,0.829,0.924,0.900,0.855,0.813,0.850,0.676,0.751,0.826,0.804,0.798
2020,0.851,0.874,0.866,0.924,0.917,0.653,0.817,0.923,0.893,0.853,0.789,0.853,0.660,0.745,0.830,0.801,0.798
2030,0.854,0.871,0.853,0.921,0.908,0.655,0.822,0.922,0.891,0.851,0.792,0.850,0.650,0.745,0.828,0.803,0.792
2040,0.855,0.872,0.856,0.923,0.904,0.636,0.808,0.920,0.887,0.846,0.786,0.849,0.645,0.746,0.818,0.791,0.782
2050,0.856,0.874,0.853,0.917,0.899,0.641,0.805,0.912,0.885,0.839,0.783,0.848,0.638,0.737,0.813,0.777,0.775
2060,0.853,0.876,0.852,0.908,0.894,0.637,0.799,0.902,0.883,0.830,0.777,0.846,0.631,0.731,0.804,0.766,0.773
2070,0.847,0.876,0.836,0.898,0.890,0.625,0.791,0.898,0.875,0.820,0.772,0.844,0.623,0.728,0.786,0.758,0.772
2080,0.833,0.876,0.821,0.889,0.887,0.610,0.783,0.883,0.866,0.810,0.770,0.841,0.614,0.716,0.741,0.752,0.769
2090,0.822,0.876,0.809,0.882,0.885,0.596,0.777,0.868,0.860,0.801,0.767,0.837,0.611,0.705,0.698,0.746,0.761
2100,0.814,0.869,0.806,0.875,0.881,0.580,0.765,0.859,0.852,0.796,0.767,0.836,0.603,0.708,0.691,0.743,0.754
