year,basin_agri,basin_forest,basin_grassland,region_agri,region_forest,region_grassland
2005,0.888,0.857,0.929,0.899,0.832,0.927
2010,0.882,0.856,0.929,0.894,0.830,0.927
2020,0.871,0.856,0.927,0.889,0.831,0.926
2030,0.866,0.855,0.921,0.886,0.831,0.923
2040,0.860,0.854,0.918,0.884,0.832,0.921
2050,0.854,0.853,0.917,0.880,0.832,0.920
2060,0.848,0.852,0.915,0.875,0.831,0.919
2070,0.845,0.852,0.914,0.870,0.830,0.919
2080,0.842,0.851,0.913,0.861,0.830,0.920
2090,0.837,0.851,0.913,0.853,0.829,0.920
2100,0.831,0.850,0.911,0.848,0.828,0.919
