17region,year,yield_region
BRA,2005,3.1735316411528443
BRA,2010,3.3085341956685173
BRA,2020,3.4334156389518213
BRA,2030,3.691381518883349
BRA,2040,3.93984365529399
BRA,2050,4.049877469334035
BRA,2060,4.1313989663048964
BRA,2070,4.202785533948199
BRA,2080,4.250970513159621
BRA,2090,4.305309659842074
BRA,2100,4.347629229549136
CAN,2005,3.4234520804286603
CAN,2010,3.46610735391361
CAN,2020,3.486759261639774
CAN,2030,3.4839064390441434
CAN,2040,3.488080212546563
CAN,2050,3.4933007359296973
CAN,2060,3.491409594921916
CAN,2070,3.486055821140422
CAN,2080,3.4714098506198066
CAN,2090,3.455240791966197
CAN,2100,3.431936886336719
CHN,2005,5.273501974663886
CHN,2010,5.245805881105961
CHN,2020,5.586667770301116
CHN,2030,5.493721540635733
CHN,2040,5.4797833000561
CHN,2050,5.561028368640466
CHN,2060,5.617205654771121
CHN,2070,5.717241097471067
CHN,2080,5.787694957660903
CHN,2090,5.884482455314261
CHN,2100,6.073966998983387
CIS,2005,2.0067801645168615
CIS,2010,2.0940955711067892
CIS,2020,2.2328719012681724
CIS,2030,2.3205227721400314
CIS,2040,2.3763934115884497
CIS,2050,2.4434972776205077
CIS,2060,2.482233805360568
CIS,2070,2.523964482629763
CIS,2080,2.556597467339588
CIS,2090,2.5904369481204053
CIS,2100,2.6279767112287553
IND,2005,2.3013004123036453
IND,2010,2.3766804210319292
IND,2020,2.457536169008184
IND,2030,2.451937047490643
IND,2040,2.439556295349659
IND,2050,2.4465498676741952
IND,2060,2.4596711805867875
IND,2070,2.4697054115785506
IND,2080,2.4894879508193175
IND,2090,2.495832592889759
IND,2100,2.4905307578259195
JPN,2005,5.497
JPN,2010,5.526
JPN,2020,5.612
JPN,2030,5.787
JPN,2040,5.905
JPN,2050,5.983
JPN,2060,6.098
JPN,2070,6.218
JPN,2080,6.329
JPN,2090,6.443
JPN,2100,6.544
TUR,2005,2.6436659256787576
TUR,2010,2.766055162126361
TUR,2020,2.807110239123707
TUR,2030,2.8242413552669086
TUR,2040,2.830851718742162
TUR,2050,2.8325220421961324
TUR,2060,2.8111216163292876
TUR,2070,2.7818265591904336
TUR,2080,2.778487542585306
TUR,2090,2.767287755678987
TUR,2100,2.790054884728422
USA,2005,6.800817564296953
USA,2010,7.040744238433663
USA,2020,7.1663339680082565
USA,2030,7.384359771817915
USA,2040,7.46854157342116
USA,2050,7.471194842378782
USA,2060,7.435700229098507
USA,2070,7.29730762364474
USA,2080,7.214227827391911
USA,2090,7.184220631637543
USA,2100,7.202340487218713
XAF,2005,1.1283617090832736
XAF,2010,1.2196385401926646
XAF,2020,1.3282411481714376
