basin,year,land,Value
AFG_AMDA,2005,CROP_FLW,3.424
AFG_AMDA,2005,PDR,3.257
AFG_AMDA,2005,WHT,1.728
AFG_AMDA,2005,GRO,1.494
AFG_AMDA,2005,OSD,2.504
AFG_AMDA,2005,OTH_A,1.719
AFG_AMDA,2005,CEREAL,1.741
AFG_AMDA,2010,CROP_FLW,3.393
AFG_AMDA,2010,PDR,2.912
AFG_AMDA,2010,WHT,1.763
AFG_AMDA,2010,GRO,1.76
AFG_AMDA,2010,OSD,3.071
AFG_AMDA,2010,OTH_A,1.565
AFG_AMDA,2010,CEREAL,1.815
AFG_AMDA,2020,CROP_FLW,3.315
AFG_AMDA,2020,PDR,3.274
AFG_AMDA,2020,WHT,1.904
AFG_AMDA,2020,GRO,1.789
AFG_AMDA,2020,OSD,3.632
AFG_AMDA,2020,OTH_A,1.375
AFG_AMDA,2020,CEREAL,1.94
AFG_AMDA,2030,CROP_FLW,3.316
AFG_AMDA,2030,PDR,3.285
AFG_AMDA,2030,WHT,1.964
AFG_AMDA,2030,GRO,1.787
AFG_AMDA,2030,OSD,3.698
AFG_AMDA,2030,OTH_A,1.348
AFG_AMDA,2030,CEREAL,1.986
AFG_AMDA,2040,CROP_FLW,3.318
AFG_AMDA,2040,PDR,3.138
AFG_AMDA,2040,WHT,2.182
AFG_AMDA,2040,GRO,1.771
AFG_AMDA,2040,OSD,3.579
AFG_AMDA,2040,OTH_A,1.27
AFG_AMDA,2040,CEREAL,2.156
AFG_AMDA,2050,CROP_FLW,3.319
AFG_AMDA,2050,PDR,3.091
AFG_AMDA,2050,WHT,2.135
AFG_AMDA,2050,GRO,1.761
AFG_AMDA,2050,OSD,3.528
AFG_AMDA,2050,OTH_A,1.183
AFG_AMDA,2050,CEREAL,2.115
AFG_AMDA,2060,CROP_FLW,3.333
AFG_AMDA,2060,PDR,2.981
AFG_AMDA,2060,WHT,2.26
AFG_AMDA,2060,GRO,1.792
AFG_AMDA,2060,OSD,3.439
AFG_AMDA,2060,OTH_A,1.134
AFG_AMDA,2060,CEREAL,2.221
AFG_AMDA,2070,CROP_FLW,3.346
AFG_AMDA,2070,PDR,2.737
AFG_AMDA,2070,WHT,2.21
AFG_AMDA,2070,GRO,1.776
AFG_AMDA,2070,OSD,3.209
AFG_AMDA,2070,OTH_A,1.026
AFG_AMDA,2070,CEREAL,2.169
AFG_AMDA,2080,CROP_FLW,3.345
AFG_AMDA,2080,PDR,2.427
AFG_AMDA,2080,WHT,2.264
AFG_AMDA,2080,GRO,1.795
AFG_AMDA,2080,OSD,2.802
AFG_AMDA,2080,OTH_A,0.914
AFG_AMDA,2080,CEREAL,2.202
AFG_AMDA,2090,CROP_FLW,3.328
AFG_AMDA,2090,PDR,2.391
AFG_AMDA,2090,WHT,2.315
AFG_AMDA,2090,GRO,1.907
AFG_AMDA,2090,OSD,2.562
AFG_AMDA,2090,OTH_A,0.89
AFG_AMDA,2090,CEREAL,2.254
AFG_AMDA,2100,CROP_FLW,3.329
AFG_AMDA,2100,PDR,2.498
AFG_AMDA,2100,WHT,2.319
AFG_AMDA,2100,GRO,1.872
AFG_AMDA,2100,OSD,2.481
AFG_AMDA,2100,OTH_A,0.812
AFG_AMDA,2100,CEREAL,2.252
AFG_CSEC,2005,CROP_FLW,3.645
AFG_CSEC,2005,PDR,3.092
AFG_CSEC,2005,WHT,1.424
AFG_CSEC,2005,GRO,1.354
AFG_CSEC,2005,OSD,2.518
AFG_CSEC,2005,C_B,51.274
AFG_CSEC,2005,OTH_A,2.38
AFG_CSEC,2005,CEREAL,1.462
AFG_CSEC,2010,CROP_FLW,3.64
AFG_CSEC,2010,PDR,2.535
AFG_CSEC,2010,WHT,1.486
AFG_CSEC,2010,GRO,1.574
AFG_CSEC,2010,OSD,3.184
AFG_CSEC,2010,C_B,37.585
AFG_CSEC,2010,OTH_A,1.999
AFG_CSEC,2010,CEREAL,1.541
AFG_CSEC,2020,CROP_FLW,3.643
AFG_CSEC,2020,PDR,3.023
AFG_CSEC,2020,WHT,1.598
AFG_CSEC,2020,GRO,1.493
AFG_CSEC,2020,OSD,4.178
AFG_CSEC,2020,C_B,42.597
AFG_CSEC,2020,OTH_A,1.718
AFG_CSEC,2020,CEREAL,1.628
AFG_CSEC,2030,CROP_FLW,3.642
AFG_CSEC,2030,PDR,3.086
AFG_CSEC,2030,WHT,1.631
AFG_CSEC,2030,GRO,1.494
AFG_CSEC,2030,OSD,4.353
AFG_CSEC,2030,C_B,44.281
AFG_CSEC,2030,OTH_A,1.681
AFG_CSEC,2030,CEREAL,1.654
AFG_CSEC,2040,CROP_FLW,3.633
AFG_CSEC,2040,PDR,2.7
AFG_CSEC,2040,WHT,1.615
AFG_CSEC,2040,GRO,1.401
AFG_CSEC,2040,OSD,3.769
AFG_CSEC,2040,C_B,38.037
AFG_CSEC,2040,OTH_A,1.425
AFG_CSEC,2040,CEREAL,1.617
AFG_CSEC,2050,CROP_FLW,3.622
AFG_CSEC,2050,PDR,2.227
AFG_CSEC,2050,WHT,1.842
AFG_CSEC,2050,GRO,1.215
AFG_CSEC,2050,OSD,2.854
AFG_CSEC,2050,C_B,30.263
AFG_CSEC,2050,OTH_A,1.238
AFG_CSEC,2050,CEREAL,1.756
AFG_CSEC,2060,CROP_FLW,3.602
AFG_CSEC,2060,PDR,1.933
AFG_CSEC,2060,WHT,1.911
AFG_CSEC,2060,GRO,1.089
AFG_CSEC,2060,OSD,2.234
AFG_CSEC,2060,C_B,24.967
AFG_CSEC,2060,OTH_A,1.114
AFG_CSEC,2060,CEREAL,1.788
AFG_CSEC,2070,CROP_FLW,3.643
AFG_CSEC,2070,PDR,1.703
AFG_CSEC,2070,WHT,1.867
AFG_CSEC,2070,GRO,0.979
AFG_CSEC,2070,OSD,1.773
AFG_CSEC,2070,C_B,20.804
AFG_CSEC,2070,OTH_A,1.004
AFG_CSEC,2070,CEREAL,1.737
AFG_CSEC,2080,CROP_FLW,3.632
AFG_CSEC,2080,PDR,1.563
AFG_CSEC,2080,WHT,1.874
AFG_CSEC,2080,GRO,0.943
AFG_CSEC,2080,OSD,1.471
AFG_CSEC,2080,C_B,18.368
AFG_CSEC,2080,OTH_A,0.931
AFG_CSEC,2080,CEREAL,1.725
AFG_CSEC,2090,CROP_FLW,3.621
AFG_CSEC,2090,PDR,1.627
AFG_CSEC,2090,WHT,2.005
AFG_CSEC,2090,GRO,0.973
AFG_CSEC,2090,OSD,1.42
AFG_CSEC,2090,C_B,17.349
AFG_CSEC,2090,OTH_A,0.928
AFG_CSEC,2090,CEREAL,1.827
AFG_CSEC,2100,CROP_FLW,3.577
AFG_CSEC,2100,PDR,1.816
AFG_CSEC,2100,WHT,2.137
AFG_CSEC,2100,GRO,1.005
AFG_CSEC,2100,OSD,1.495
AFG_CSEC,2100,C_B,17.29
AFG_CSEC,2100,OTH_A,0.982
AFG_CSEC,2100,CEREAL,1.935
AFG_FARA,2005,CROP_FLW,3.566
AFG_FARA,2005,PDR,3.2
AFG_FARA,2005,WHT,1.723
AFG_FARA,2005,GRO,1.596
AFG_FARA,2005,OSD,2.878
AFG_FARA,2005,C_B,70.244
AFG_FARA,2005,OTH_A,2.397
AFG_FARA,2005,CEREAL,1.839
AFG_FARA,2010,CROP_FLW,3.576
AFG_FARA,2010,PDR,2.646
AFG_FARA,2010,WHT,1.768
AFG_FARA,2010,GRO,1.95
AFG_FARA,2010,OSD,3.557
AFG_FARA,2010,C_B,48.252
AFG_FARA,2010,OTH_A,2.023
AFG_FARA,2010,CEREAL,1.921
AFG_FARA,2020,CROP_FLW,3.592
AFG_FARA,2020,PDR,3.167
AFG_FARA,2020,WHT,2.012
AFG_FARA,2020,GRO,2.023
AFG_FARA,2020,OSD,4.992
AFG_FARA,2020,C_B,57.196
AFG_FARA,2020,OTH_A,1.607
AFG_FARA,2020,CEREAL,2.152
AFG_FARA,2030,CROP_FLW,3.599
AFG_FARA,2030,PDR,3.322
AFG_FARA,2030,WHT,2.079
AFG_FARA,2030,GRO,2.07
AFG_FARA,2030,OSD,5.482
AFG_FARA,2030,C_B,61.963
AFG_FARA,2030,OTH_A,1.637
AFG_FARA,2030,CEREAL,2.218
AFG_FARA,2040,CROP_FLW,3.599
AFG_FARA,2040,PDR,2.97
AFG_FARA,2040,WHT,2.106
AFG_FARA,2040,GRO,1.993
AFG_FARA,2040,OSD,5.408
AFG_FARA,2040,C_B,52.152
AFG_FARA,2040,OTH_A,1.46
AFG_FARA,2040,CEREAL,2.186
AFG_FARA,2050,CROP_FLW,3.593
AFG_FARA,2050,PDR,2.396
AFG_FARA,2050,WHT,1.992
AFG_FARA,2050,GRO,1.583
AFG_FARA,2050,OSD,5.206
AFG_FARA,2050,C_B,39.242
AFG_FARA,2050,OTH_A,1.184
AFG_FARA,2050,CEREAL,1.962
AFG_FARA,2060,CROP_FLW,3.592
AFG_FARA,2060,PDR,2.112
AFG_FARA,2060,WHT,1.915
AFG_FARA,2060,GRO,1.335
AFG_FARA,2060,OSD,5.241
AFG_FARA,2060,C_B,31.985
AFG_FARA,2060,OTH_A,1.07
AFG_FARA,2060,CEREAL,1.831
AFG_FARA,2070,CROP_FLW,3.589
AFG_FARA,2070,PDR,2.119
AFG_FARA,2070,WHT,1.934
AFG_FARA,2070,GRO,1.3
AFG_FARA,2070,OSD,5.201
AFG_FARA,2070,C_B,30.098
AFG_FARA,2070,OTH_A,1.042
AFG_FARA,2070,CEREAL,1.842
AFG_FARA,2080,CROP_FLW,3.608
AFG_FARA,2080,PDR,2.588
AFG_FARA,2080,WHT,2.441
AFG_FARA,2080,GRO,1.79
AFG_FARA,2080,OSD,7.038
AFG_FARA,2080,C_B,39.241
AFG_FARA,2080,OTH_A,1.282
AFG_FARA,2080,CEREAL,2.334
AFG_FARA,2090,CROP_FLW,3.579
AFG_FARA,2090,PDR,3.191
AFG_FARA,2090,WHT,2.502
AFG_FARA,2090,GRO,2.103
AFG_FARA,2090,OSD,9.068
AFG_FARA,2090,C_B,47.564
AFG_FARA,2090,OTH_A,1.029
AFG_FARA,2090,CEREAL,2.501
AFG_FARA,2100,CROP_FLW,3.573
AFG_FARA,2100,PDR,3.335
AFG_FARA,2100,WHT,2.551
AFG_FARA,2100,GRO,2.0
AFG_FARA,2100,OSD,8.687
AFG_FARA,2100,C_B,40.912
AFG_FARA,2100,OTH_A,0.998
AFG_FARA,2100,CEREAL,2.515
AFG_HELM,2005,CROP_FLW,4.056
AFG_HELM,2005,PDR,3.187
AFG_HELM,2005,WHT,1.801
AFG_HELM,2005,GRO,1.579
AFG_HELM,2005,OSD,1.478
AFG_HELM,2005,C_B,43.699
AFG_HELM,2005,OTH_A,2.001
AFG_HELM,2005,CEREAL,1.855
AFG_HELM,2010,CROP_FLW,4.045
AFG_HELM,2010,PDR,3.079
AFG_HELM,2010,WHT,1.859
AFG_HELM,2010,GRO,1.868
AFG_HELM,2010,OSD,1.792
AFG_HELM,2010,C_B,33.102
AFG_HELM,2010,OTH_A,1.882
AFG_HELM,2010,CEREAL,1.981
AFG_HELM,2020,CROP_FLW,4.008
AFG_HELM,2020,PDR,3.551
AFG_HELM,2020,WHT,2.036
AFG_HELM,2020,GRO,1.87
AFG_HELM,2020,OSD,2.28
AFG_HELM,2020,C_B,37.096
AFG_HELM,2020,OTH_A,1.672
AFG_HELM,2020,CEREAL,2.134
AFG_HELM,2030,CROP_FLW,4.008
AFG_HELM,2030,PDR,3.548
AFG_HELM,2030,WHT,2.153
AFG_HELM,2030,GRO,1.875
AFG_HELM,2030,OSD,2.569
AFG_HELM,2030,C_B,37.696
AFG_HELM,2030,OTH_A,1.654
AFG_HELM,2030,CEREAL,2.212
AFG_HELM,2040,CROP_FLW,4.009
AFG_HELM,2040,PDR,3.24
AFG_HELM,2040,WHT,1.979
AFG_HELM,2040,GRO,1.729
AFG_HELM,2040,OSD,4.166
AFG_HELM,2040,C_B,30.911
AFG_HELM,2040,OTH_A,1.259
AFG_HELM,2040,CEREAL,2.035
AFG_HELM,2050,CROP_FLW,4.024
AFG_HELM,2050,PDR,2.927
AFG_HELM,2050,WHT,2.369
AFG_HELM,2050,GRO,1.761
AFG_HELM,2050,OSD,6.464
AFG_HELM,2050,C_B,21.658
AFG_HELM,2050,OTH_A,1.323
AFG_HELM,2050,CEREAL,2.311
AFG_HELM,2060,CROP_FLW,4.033
AFG_HELM,2060,PDR,2.597
AFG_HELM,2060,WHT,2.508
AFG_HELM,2060,GRO,1.694
AFG_HELM,2060,OSD,6.38
AFG_HELM,2060,C_B,15.068
AFG_HELM,2060,OTH_A,1.294
AFG_HELM,2060,CEREAL,2.387
AFG_HELM,2070,CROP_FLW,4.032
AFG_HELM,2070,PDR,2.553
AFG_HELM,2070,WHT,2.62
AFG_HELM,2070,GRO,1.701
AFG_HELM,2070,OSD,6.376
AFG_HELM,2070,C_B,12.87
AFG_HELM,2070,OTH_A,1.269
AFG_HELM,2070,CEREAL,2.478
AFG_HELM,2080,CROP_FLW,3.991
AFG_HELM,2080,PDR,2.553
AFG_HELM,2080,WHT,2.792
AFG_HELM,2080,GRO,1.702
AFG_HELM,2080,OSD,6.348
AFG_HELM,2080,C_B,11.702
AFG_HELM,2080,OTH_A,1.258
AFG_HELM,2080,CEREAL,2.598
AFG_HELM,2090,CROP_FLW,3.881
AFG_HELM,2090,PDR,2.695
AFG_HELM,2090,WHT,3.047
AFG_HELM,2090,GRO,1.78
AFG_HELM,2090,OSD,6.334
AFG_HELM,2090,C_B,11.69
AFG_HELM,2090,OTH_A,1.276
AFG_HELM,2090,CEREAL,2.802
AFG_HELM,2100,CROP_FLW,3.806
