basin,year,land,Value
XE25,2005,CROP_FLW,6.498
XE25,2005,PDR,5.580
XE25,2005,WHT,5.602
XE25,2005,GRO,4.946
XE25,2005,OSD,2.468
XE25,2005,C_B,71.460
XE25,2005,OTH_A,15.154
XE25,2005,CEREAL,5.231
XE25,2006,CROP_FLW,6.371
XE25,2006,PDR,5.666
XE25,2006,WHT,5.607
XE25,2006,GRO,5.010
XE25,2006,OSD,2.478
XE25,2006,C_B,73.504
XE25,2006,OTH_A,15.197
XE25,2006,CEREAL,5.273
XE25,2007,CROP_FLW,6.247
XE25,2007,PDR,5.754
XE25,2007,WHT,5.611
XE25,2007,GRO,5.074
XE25,2007,OSD,2.489
XE25,2007,C_B,75.605
XE25,2007,OTH_A,15.240
XE25,2007,CEREAL,5.315
XE25,2008,CROP_FLW,6.125
XE25,2008,PDR,5.843
XE25,2008,WHT,5.616
XE25,2008,GRO,5.140
XE25,2008,OSD,2.500
XE25,2008,C_B,77.767
XE25,2008,OTH_A,15.283
XE25,2008,CEREAL,5.358
XE25,2009,CROP_FLW,6.006
XE25,2009,PDR,5.933
XE25,2009,WHT,5.621
XE25,2009,GRO,5.206
XE25,2009,OSD,2.510
XE25,2009,C_B,79.991
XE25,2009,OTH_A,15.326
XE25,2009,CEREAL,5.401
XE25,2010,CROP_FLW,5.889
XE25,2010,PDR,6.025
XE25,2010,WHT,5.625
XE25,2010,GRO,5.273
XE25,2010,OSD,2.521
XE25,2010,C_B,82.278
XE25,2010,OTH_A,15.370
XE25,2010,CEREAL,5.444
XE25,2011,CROP_FLW,5.871
XE25,2011,PDR,6.030
XE25,2011,WHT,5.634
XE25,2011,GRO,5.289
XE25,2011,OSD,2.535
XE25,2011,C_B,82.870
XE25,2011,OTH_A,15.544
XE25,2011,CEREAL,5.458
XE25,2012,CROP_FLW,5.854
XE25,2012,PDR,6.034
XE25,2012,WHT,5.643
XE25,2012,GRO,5.306
XE25,2012,OSD,2.549
XE25,2012,C_B,83.467
XE25,2012,OTH_A,15.721
XE25,2012,CEREAL,5.472
XE25,2013,CROP_FLW,5.836
XE25,2013,PDR,6.039
XE25,2013,WHT,5.652
XE25,2013,GRO,5.323
XE25,2013,OSD,2.563
XE25,2013,C_B,84.068
XE25,2013,OTH_A,15.900
XE25,2013,CEREAL,5.486
XE25,2014,CROP_FLW,5.819
XE25,2014,PDR,6.043
XE25,2014,WHT,5.661
XE25,2014,GRO,5.340
XE25,2014,OSD,2.578
XE25,2014,C_B,84.673
XE25,2014,OTH_A,16.080
XE25,2014,CEREAL,5.500
XE25,2015,CROP_FLW,5.801
XE25,2015,PDR,6.047
XE25,2015,WHT,5.670
XE25,2015,GRO,5.357
XE25,2015,OSD,2.592
XE25,2015,C_B,85.282
XE25,2015,OTH_A,16.263
XE25,2015,CEREAL,5.514
XE25,2016,CROP_FLW,5.784
XE25,2016,PDR,6.052
XE25,2016,WHT,5.679
XE25,2016,GRO,5.374
XE25,2016,OSD,2.606
XE25,2016,C_B,85.896
XE25,2016,OTH_A,16.448
XE25,2016,CEREAL,5.528
XE25,2017,CROP_FLW,5.767
XE25,2017,PDR,6.056
XE25,2017,WHT,5.688
XE25,2017,GRO,5.391
XE25,2017,OSD,2.621
XE25,2017,C_B,86.514
XE25,2017,OTH_A,16.635
XE25,2017,CEREAL,5.542
XE25,2018,CROP_FLW,5.750
XE25,2018,PDR,6.061
XE25,2018,WHT,5.697
XE25,2018,GRO,5.408
XE25,2018,OSD,2.635
XE25,2018,C_B,87.137
XE25,2018,OTH_A,16.824
XE25,2018,CEREAL,5.556
XE25,2019,CROP_FLW,5.732
XE25,2019,PDR,6.065
XE25,2019,WHT,5.706
XE25,2019,GRO,5.425
XE25,2019,OSD,2.650
XE25,2019,C_B,87.764
XE25,2019,OTH_A,17.016
XE25,2019,CEREAL,5.570
XE25,2020,CROP_FLW,5.715
XE25,2020,PDR,6.070
XE25,2020,WHT,5.715
XE25,2020,GRO,5.442
XE25,2020,OSD,2.665
XE25,2020,C_B,88.396
XE25,2020,OTH_A,17.209
XE25,2020,CEREAL,5.584
XE25,2021,CROP_FLW,5.715
XE25,2021,PDR,6.073
XE25,2021,WHT,5.719
XE25,2021,GRO,5.446
XE25,2021,OSD,2.666
XE25,2021,C_B,88.983
XE25,2021,OTH_A,17.307
XE25,2021,CEREAL,5.588
XE25,2022,CROP_FLW,5.716
XE25,2022,PDR,6.076
XE25,2022,WHT,5.723
XE25,2022,GRO,5.450
XE25,2022,OSD,2.666
XE25,2022,C_B,89.574
XE25,2022,OTH_A,17.406
XE25,2022,CEREAL,5.592
XE25,2023,CROP_FLW,5.716
XE25,2023,PDR,6.079
XE25,2023,WHT,5.728
XE25,2023,GRO,5.454
XE25,2023,OSD,2.667
XE25,2023,C_B,90.169
XE25,2023,OTH_A,17.505
XE25,2023,CEREAL,5.597
XE25,2024,CROP_FLW,5.716
XE25,2024,PDR,6.082
XE25,2024,WHT,5.732
XE25,2024,GRO,5.458
XE25,2024,OSD,2.668
XE25,2024,C_B,90.768
XE25,2024,OTH_A,17.605
XE25,2024,CEREAL,5.601
XE25,2025,CROP_FLW,5.716
XE25,2025,PDR,6.085
XE25,2025,WHT,5.736
XE25,2025,GRO,5.462
XE25,2025,OSD,2.668
XE25,2025,C_B,91.371
XE25,2025,OTH_A,17.705
XE25,2025,CEREAL,5.605
XE25,2026,CROP_FLW,5.716
XE25,2026,PDR,6.088
XE25,2026,WHT,5.740
XE25,2026,GRO,5.466
XE25,2026,OSD,2.669
XE25,2026,C_B,91.978
XE25,2026,OTH_A,17.806
XE25,2026,CEREAL,5.609
XE25,2027,CROP_FLW,5.716
XE25,2027,PDR,6.092
XE25,2027,WHT,5.744
XE25,2027,GRO,5.470
XE25,2027,OSD,2.670
XE25,2027,C_B,92.589
XE25,2027,OTH_A,17.908
XE25,2027,CEREAL,5.613
XE25,2028,CROP_FLW,5.716
XE25,2028,PDR,6.095
XE25,2028,WHT,5.748
XE25,2028,GRO,5.474
XE25,2028,OSD,2.671
XE25,2028,C_B,93.204
XE25,2028,OTH_A,18.010
XE25,2028,CEREAL,5.617
XE25,2029,CROP_FLW,5.716
XE25,2029,PDR,6.098
XE25,2029,WHT,5.752
XE25,2029,GRO,5.478
XE25,2029,OSD,2.671
XE25,2029,C_B,93.823
XE25,2029,OTH_A,18.113
XE25,2029,CEREAL,5.621
XE25,2030,CROP_FLW,5.717
XE25,2030,PDR,6.101
XE25,2030,WHT,5.756
XE25,2030,GRO,5.482
XE25,2030,OSD,2.672
XE25,2030,C_B,94.446
XE25,2030,OTH_A,18.216
XE25,2030,CEREAL,5.625
XE25,2031,CROP_FLW,5.710
XE25,2031,PDR,6.110
XE25,2031,WHT,5.756
XE25,2031,GRO,5.487
XE25,2031,OSD,2.673
XE25,2031,C_B,95.346
XE25,2031,OTH_A,18.241
XE25,2031,CEREAL,5.628
XE25,2032,CROP_FLW,5.704
XE25,2032,PDR,6.119
XE25,2032,WHT,5.756
XE25,2032,GRO,5.492
XE25,2032,OSD,2.674
XE25,2032,C_B,96.255
XE25,2032,OTH_A,18.266
XE25,2032,CEREAL,5.631
XE25,2033,CROP_FLW,5.698
XE25,2033,PDR,6.129
XE25,2033,WHT,5.756
XE25,2033,GRO,5.496
XE25,2033,OSD,2.675
XE25,2033,C_B,97.172
XE25,2033,OTH_A,18.291
XE25,2033,CEREAL,5.634
