region,year,land,Value
XE25,2005,CEREAL,5.231
XE25,2010,CEREAL,5.444
XE25,2020,CEREAL,5.584
XE25,2030,CEREAL,5.625
XE25,2040,CEREAL,5.656
XE25,2050,CEREAL,5.711
XE25,2060,CEREAL,5.772
XE25,2070,CEREAL,5.871
XE25,2080,CEREAL,5.945
XE25,2090,CEREAL,5.995
XE25,2100,CEREAL,6.034
XER,2005,CEREAL,2.389
XER,2010,CEREAL,2.579
XER,2020,CEREAL,2.627
XER,2030,CEREAL,2.654
XER,2040,CEREAL,2.667
XER,2050,CEREAL,2.684
XER,2060,CEREAL,2.702
XER,2070,CEREAL,2.713
XER,2080,CEREAL,2.725
XER,2090,CEREAL,2.739
XER,2100,CEREAL,2.753
XOC,2005,CEREAL,1.902
XOC,2010,CEREAL,1.903
XOC,2020,CEREAL,2.074
XOC,2030,CEREAL,2.12
XOC,2040,CEREAL,2.274
XOC,2050,CEREAL,2.336
XOC,2060,CEREAL,2.258
XOC,2070,CEREAL,2.476
XOC,2080,CEREAL,2.779
XOC,2090,CEREAL,2.992
XOC,2100,CEREAL,3.03
XSE,2005,CEREAL,3.64
XSE,2010,CEREAL,3.899
XSE,2020,CEREAL,4.055
XSE,2030,CEREAL,4.24
XSE,2040,CEREAL,4.4
XSE,2050,CEREAL,4.474
XSE,2060,CEREAL,4.501
XSE,2070,CEREAL,4.505
XSE,2080,CEREAL,4.531
XSE,2090,CEREAL,4.581
XSE,2100,CEREAL,4.632
XSA,2005,CEREAL,2.319
XSA,2010,CEREAL,2.295
XSA,2020,CEREAL,2.363
XSA,2030,CEREAL,2.334
XSA,2040,CEREAL,2.391
XSA,2050,CEREAL,2.394
XSA,2060,CEREAL,2.362
XSA,2070,CEREAL,2.305
XSA,2080,CEREAL,2.291
XSA,2090,CEREAL,2.265
XSA,2100,CEREAL,2.251
XLM,2005,CEREAL,3.7
XLM,2010,CEREAL,3.887
XLM,2020,CEREAL,3.957
XLM,2030,CEREAL,4.027
XLM,2040,CEREAL,4.082
XLM,2050,CEREAL,4.102
XLM,2060,CEREAL,4.183
XLM,2070,CEREAL,4.233
XLM,2080,CEREAL,4.224
XLM,2090,CEREAL,4.203
XLM,2100,CEREAL,4.199
CIS,2005,CEREAL,2.016
CIS,2010,CEREAL,2.109
CIS,2020,CEREAL,2.119
CIS,2030,CEREAL,2.195
CIS,2040,CEREAL,2.225
CIS,2050,CEREAL,2.291
CIS,2060,CEREAL,2.33
CIS,2070,CEREAL,2.372
CIS,2080,CEREAL,2.384
CIS,2090,CEREAL,2.365
CIS,2100,CEREAL,2.35
XME,2005,CEREAL,2.064
XME,2010,CEREAL,2.139
XME,2020,CEREAL,2.187
XME,2030,CEREAL,2.249
XME,2040,CEREAL,2.293
XME,2050,CEREAL,2.339
XME,2060,CEREAL,2.353
XME,2070,CEREAL,2.342
XME,2080,CEREAL,2.469
XME,2090,CEREAL,2.576
XME,2100,CEREAL,2.626
XNF,2005,CEREAL,1.968
XNF,2010,CEREAL,2.023
XNF,2020,CEREAL,2.074
XNF,2030,CEREAL,2.083
XNF,2040,CEREAL,2.114
XNF,2050,CEREAL,2.166
XNF,2060,CEREAL,2.263
XNF,2070,CEREAL,2.316
XNF,2080,CEREAL,2.387
XNF,2090,CEREAL,2.446
XNF,2100,CEREAL,2.473
XAF,2005,CEREAL,1.157
XAF,2010,CEREAL,1.225
XAF,2020,CEREAL,1.531
XAF,2030,CEREAL,1.62
XAF,2040,CEREAL,1.711
XAF,2050,CEREAL,1.8
XAF,2060,CEREAL,1.871
XAF,2070,CEREAL,1.961
XAF,2080,CEREAL,2.068
XAF,2090,CEREAL,2.148
XAF,2100,CEREAL,2.241
BRA,2005,CEREAL,3.192
BRA,2010,CEREAL,3.268
BRA,2020,CEREAL,3.375
BRA,2030,CEREAL,3.549
BRA,2040,CEREAL,3.668
BRA,2050,CEREAL,3.755
BRA,2060,CEREAL,3.834
BRA,2070,CEREAL,3.931
BRA,2080,CEREAL,4.135
BRA,2090,CEREAL,4.318
BRA,2100,CEREAL,4.493
CAN,2005,CEREAL,3.1
CAN,2010,CEREAL,3.173
CAN,2020,CEREAL,3.157
CAN,2030,CEREAL,3.162
CAN,2040,CEREAL,3.168
CAN,2050,CEREAL,3.168
CAN,2060,CEREAL,3.173
CAN,2070,CEREAL,3.175
CAN,2080,CEREAL,3.156
CAN,2090,CEREAL,3.14
CAN,2100,CEREAL,3.152
CHN,2005,CEREAL,5.301
CHN,2010,CEREAL,5.407
CHN,2020,CEREAL,5.8
CHN,2030,CEREAL,5.799
CHN,2040,CEREAL,5.824
CHN,2050,CEREAL,5.916
CHN,2060,CEREAL,5.973
CHN,2070,CEREAL,6.185
CHN,2080,CEREAL,6.38
CHN,2090,CEREAL,6.486
