category,basin,country,year,Value
wht,GMAN,USA,2015,2.3467019889092566
wht,GMAN,USA,2016,2.3659656635546655
wht,GMAN,USA,2017,2.3853878302415934
wht,GMAN,USA,2018,2.404969795897124
wht,GMAN,USA,2019,2.4247128782445286
wht,GMAN,USA,2020,2.444618405904856
wht,GMAN,USA,2021,2.459237639936686
wht,GMAN,USA,2022,2.473945502452473
wht,GMAN,USA,2023,2.488742536459311
wht,GMAN,USA,2024,2.503629288321152
wht,GMAN,USA,2025,2.5186063077797023
wht,GMAN,USA,2026,2.5369196610733784
wht,GMAN,USA,2027,2.5553664540474377
wht,GMAN,USA,2028,2.5739476610517418
wht,GMAN,USA,2029,2.5926642635672383
wht,GMAN,USA,2030,2.6115172502508774
wht,GMAN,USA,2031,2.62908586315804
wht,GMAN,USA,2032,2.6467721708874157
wht,GMAN,USA,2033,2.6645769581575958
wht,GMAN,USA,2034,2.6825010148918453
wht,GMAN,USA,2035,2.700545136251756
wht,GMAN,USA,2036,2.7186516818724726
wht,GMAN,USA,2037,2.7368781224343506
wht,GMAN,USA,2038,2.7552252394306382
wht,GMAN,USA,2039,2.773693819349448
wht,GMAN,USA,2040,2.7922846537049835
wht,GMAN,USA,2041,2.8092363370248163
wht,GMAN,USA,2042,2.826287971857619
wht,GMAN,USA,2043,2.8434401225751893
wht,GMAN,USA,2044,2.8606933565310544
wht,GMAN,USA,2045,2.8780482440844133
wht,GMAN,USA,2046,2.8946630370608553
wht,GMAN,USA,2047,2.9113692324528126
wht,GMAN,USA,2048,2.9281672932296443
wht,GMAN,USA,2049,2.945057684372545
wht,GMAN,USA,2050,2.9620408728809395
wht,GMAN,USA,2051,2.979117327776376
wht,GMAN,USA,2052,2.9962875201136105
wht,GMAN,USA,2053,3.013551922981507
wht,GMAN,USA,2054,3.0309110115118445
wht,GMAN,USA,2055,3.048365262884879
wht,GMAN,USA,2056,3.065915156335455
wht,GMAN,USA,2057,3.083561173159104
wht,GMAN,USA,2058,3.101303796718182
wht,GMAN,USA,2059,3.119143512447958
wht,GMAN,USA,2060,3.137080807862712
wht,GMAN,USA,2061,3.155116172561856
wht,GMAN,USA,2062,3.1732500982361675
wht,GMAN,USA,2063,3.1914830786731394
wht,GMAN,USA,2064,3.209815609763849
wht,GMAN,USA,2065,3.2282481895111346
wht,GMAN,USA,2066,3.2467813180293352
wht,GMAN,USA,2067,3.265415497556889
wht,GMAN,USA,2068,3.2841512324607804
wht,GMAN,USA,2069,3.3029890292395825
wht,GMAN,USA,2070,3.3219293965340384
wht,GMAN,USA,2071,3.3409728451274012
wht,GMAN,USA,2072,3.360119887959572
wht,GMAN,USA,2073,3.3793710401254566
wht,GMAN,USA,2074,3.3987268188849478
wht,GMAN,USA,2075,3.418187743668038
wht,GMAN,USA,2076,3.4377543360809995
wht,GMAN,USA,2077,3.457427119912844
wht,GMAN,USA,2078,3.477206621139171
wht,GMAN,USA,2079,3.497093367932354
wht,GMAN,USA,2080,3.517087890663741
wht,GMAN,USA,2081,3.5371907219112506
wht,GMAN,USA,2082,3.557402396465263
wht,GMAN,USA,2083,3.5777234513345726
wht,GMAN,USA,2084,3.598154425752393
wht,GMAN,USA,2085,3.618695861182324
wht,GMAN,USA,2086,3.6393483013242958
wht,GMAN,USA,2087,3.66011229212055
wht,GMAN,USA,2088,3.6809883817635627
wht,GMAN,USA,2089,3.7019771206947434
wht,GMAN,USA,2090,3.7230790616211076
wht,GMAN,USA,2091,3.744294759515072
wht,GMAN,USA,2092,3.765624771619543
wht,GMAN,USA,2093,3.7870696574562452
wht,GMAN,USA,2094,3.8086299788309184
wht,GMAN,USA,2095,3.830306299839258
wht,GMAN,USA,2096,3.8520991868728496
wht,GMAN,USA,2097,3.874009208624844
wht,GMAN,USA,2098,3.8960369360963103
wht,GMAN,USA,2099,3.918182942601684
