basin,country,year,Value
GMAN,USA,2015,19370.5798231697
GMAN,USA,2016,19327.122744155065
GMAN,USA,2017,19356.660131183417
GMAN,USA,2018,19387.781955839102
GMAN,USA,2019,19391.964874680336
GMAN,USA,2020,19270.72409627875
GMAN,USA,2021,19482.190968112915
GMAN,USA,2022,19696.868728710597
GMAN,USA,2023,19872.119675760066
GMAN,USA,2024,19998.420283828225
GMAN,USA,2025,20068.44808232812
GMAN,USA,2026,19878.681943158495
GMAN,USA,2027,19714.85563443782
GMAN,USA,2028,19577.78963730256
GMAN,USA,2029,19466.594258104902
GMAN,USA,2030,19379.589981050904
GMAN,USA,2031,19336.799942650345
GMAN,USA,2032,19309.681235340864
GMAN,USA,2033,19297.703637037463
GMAN,USA,2034,19296.406835081038
GMAN,USA,2035,19313.88166932221
GMAN,USA,2036,19356.881962446
GMAN,USA,2037,19416.701659214625
GMAN,USA,2038,19490.59213370993
GMAN,USA,2039,19576.893358496905
GMAN,USA,2040,19674.824975457475
GMAN,USA,2041,19819.50455360501
GMAN,USA,2042,19965.36301594654
GMAN,USA,2043,20113.317778312943
GMAN,USA,2044,20263.839421920868
GMAN,USA,2045,20417.784541184683
GMAN,USA,2046,20578.211658537708
GMAN,USA,2047,20737.46889691028
GMAN,USA,2048,20889.878444960865
GMAN,USA,2049,21037.653722181138
GMAN,USA,2050,21189.097670281466
GMAN,USA,2051,21334.40390056442
GMAN,USA,2052,21501.808673815704
GMAN,USA,2053,21659.097768385247
GMAN,USA,2054,21805.47949104916
GMAN,USA,2055,21920.134002479004
GMAN,USA,2056,21963.75612621582
GMAN,USA,2057,22031.346299436387
GMAN,USA,2058,22116.99612539065
GMAN,USA,2059,22195.1167201926
GMAN,USA,2060,22244.584433528493
GMAN,USA,2061,22281.837460413528
GMAN,USA,2062,22303.40921370051
GMAN,USA,2063,22315.229137300063
GMAN,USA,2064,22332.429191727028
GMAN,USA,2065,22343.821577550665
GMAN,USA,2066,22346.009058305524
GMAN,USA,2067,22353.874653322433
GMAN,USA,2068,22354.473702897383
GMAN,USA,2069,22350.309133156155
GMAN,USA,2070,22361.22885196468
GMAN,USA,2071,22375.998789296875
GMAN,USA,2072,22391.203624974118
GMAN,USA,2073,22406.877334848446
GMAN,USA,2074,22425.691182009192
GMAN,USA,2075,22451.726571662784
GMAN,USA,2076,22475.908646215838
GMAN,USA,2077,22499.788068437876
GMAN,USA,2078,22525.30101720142
GMAN,USA,2079,22557.751832622922
GMAN,USA,2080,22592.26714706183
GMAN,USA,2081,22622.544788778752
GMAN,USA,2082,22649.6932824367
GMAN,USA,2083,22670.077251265928
GMAN,USA,2084,22686.742549904793
GMAN,USA,2085,22702.338571493943
GMAN,USA,2086,22710.536474509365
GMAN,USA,2087,22713.360810645652
GMAN,USA,2088,22710.88372614968
GMAN,USA,2089,22703.059927397404
GMAN,USA,2090,22690.743516274215
GMAN,USA,2091,22676.533307334696
GMAN,USA,2092,22663.967852684207
GMAN,USA,2093,22653.060868088163
GMAN,USA,2094,22641.88306797264
GMAN,USA,2095,22631.687487871404
GMAN,USA,2096,22618.7113438732
GMAN,USA,2097,22601.25114053418
GMAN,USA,2098,22580.870721658615
GMAN,USA,2099,22560.51046703139
GMAN,USA,2100,22537.67375080223
MSMM,USA,2015,106658.58438591781
MSMM,USA,2016,106308.38821965616
MSMM,USA,2017,106375.75508314905
MSMM,USA,2018,106577.75222031868
MSMM,USA,2019,106756.11374697117
MSMM,USA,2020,106121.78817790559
MSMM,USA,2021,107286.38979919879
MSMM,USA,2022,108565.41065743261
MSMM,USA,2023,109864.22370300199
MSMM,USA,2024,111185.63611782576
MSMM,USA,2025,112487.20194121027
MSMM,USA,2026,112547.25587193486
MSMM,USA,2027,112772.64658759694
MSMM,USA,2028,113142.25947289148
MSMM,USA,2029,113628.59818469493
MSMM,USA,2030,114208.60038155275
MSMM,USA,2031,114963.41838706782
MSMM,USA,2032,115729.23028126231
MSMM,USA,2033,116501.41661210879
MSMM,USA,2034,117247.65440897459
MSMM,USA,2035,118010.018392268
MSMM,USA,2036,118812.92501422683
MSMM,USA,2037,119608.71536901665
MSMM,USA,2038,120416.17958361527
MSMM,USA,2039,121248.3775851455
MSMM,USA,2040,122114.94330398567
MSMM,USA,2041,123215.04356418751
MSMM,USA,2042,124300.97756446044
MSMM,USA,2043,125393.07715970838
MSMM,USA,2044,126450.76395567931
MSMM,USA,2045,127446.93401894707
MSMM,USA,2046,128419.81621859087
MSMM,USA,2047,129345.0745599414
MSMM,USA,2048,130240.89789444862
MSMM,USA,2049,131099.26990241333
MSMM,USA,2050,131933.81896412565
MSMM,USA,2051,132712.9577410393
MSMM,USA,2052,133579.12830163247
MSMM,USA,2053,134385.5997337814
MSMM,USA,2054,135155.8158865547
MSMM,USA,2055,135999.5818923728
MSMM,USA,2056,137155.8122449913
MSMM,USA,2057,138703.4391566793
MSMM,USA,2058,140532.8117589734
MSMM,USA,2059,142534.83892479134
MSMM,USA,2060,144582.04645545056
MSMM,USA,2061,146685.39376239403
MSMM,USA,2062,148766.07563537895
MSMM,USA,2063,150820.94164141183
MSMM,USA,2064,152967.22747745062
MSMM,USA,2065,155102.55103801165
MSMM,USA,2066,157092.53841311033
MSMM,USA,2067,159016.77043614638
MSMM,USA,2068,160789.9535397468
MSMM,USA,2069,162420.88871760803
MSMM,USA,2070,164046.751929444
MSMM,USA,2071,165596.72889057436
MSMM,USA,2072,167089.9118883785
MSMM,USA,2073,168501.96672734688
MSMM,USA,2074,169840.88543112177
MSMM,USA,2075,171136.94678827302
MSMM,USA,2076,172336.5244307706
MSMM,USA,2077,173457.4504589484
MSMM,USA,2078,174517.46071614156
MSMM,USA,2079,175520.56776714718
MSMM,USA,2080,176484.17616945205
MSMM,USA,2081,177349.55646069182
MSMM,USA,2082,178139.93016822936
MSMM,USA,2083,178820.65461276588
MSMM,USA,2084,179424.72660519747
MSMM,USA,2085,179966.92392303827
MSMM,USA,2086,180432.29959636182
MSMM,USA,2087,180835.0482750854
MSMM,USA,2088,181181.64173053674
MSMM,USA,2089,181475.82243085504
MSMM,USA,2090,181711.51947747788
MSMM,USA,2091,181898.56553959037
MSMM,USA,2092,182051.14614977245
MSMM,USA,2093,182180.59968505395
MSMM,USA,2094,182281.81413429236
MSMM,USA,2095,182351.1953309876
MSMM,USA,2096,182386.26856567778
MSMM,USA,2097,182409.4115910948
MSMM,USA,2098,182436.08602638965
MSMM,USA,2099,182480.49615267367
MSMM,USA,2100,182503.67240871742
GFCO,USA,2015,12803.686422455443
GFCO,USA,2016,12738.43450083239
GFCO,USA,2017,12716.062346392964
GFCO,USA,2018,12692.102504368957
GFCO,USA,2019,12638.294209571746
GFCO,USA,2020,12461.278934466362
GFCO,USA,2021,12513.396660654413
GFCO,USA,2022,12560.049769109213
GFCO,USA,2023,12581.054112852806
GFCO,USA,2024,12572.911010162125
GFCO,USA,2025,12527.187039175655
GFCO,USA,2026,12287.81394337352
GFCO,USA,2027,12054.224082734023
GFCO,USA,2028,11831.077748315098
GFCO,USA,2029,11619.96799645586
GFCO,USA,2030,11422.25421277625
GFCO,USA,2031,11240.159432906312
GFCO,USA,2032,11065.9798906024
GFCO,USA,2033,10905.954753915417
GFCO,USA,2034,10758.436102907186
GFCO,USA,2035,10630.342107277063
GFCO,USA,2036,10524.408582308706
GFCO,USA,2037,10439.73499087162
GFCO,USA,2038,10379.929303590985
GFCO,USA,2039,10344.96997614937
GFCO,USA,2040,10333.271660744707
GFCO,USA,2041,10361.451171372737
GFCO,USA,2042,10403.808130063311
GFCO,USA,2043,10460.357691455372
GFCO,USA,2044,10520.461705581218
GFCO,USA,2045,10577.353047463426
GFCO,USA,2046,10635.22881168768
GFCO,USA,2047,10694.539956978108
GFCO,USA,2048,10760.981627666752
GFCO,USA,2049,10830.622106387922
GFCO,USA,2050,10900.060362264026
GFCO,USA,2051,10964.98581770393
GFCO,USA,2052,11030.298901781865
GFCO,USA,2053,11094.257449727105
GFCO,USA,2054,11158.972261934965
GFCO,USA,2055,11258.152921952867
GFCO,USA,2056,11431.595571589525
GFCO,USA,2057,11642.860421044907
GFCO,USA,2058,11877.539150798057
GFCO,USA,2059,12136.902423802218
GFCO,USA,2060,12396.095285120387
GFCO,USA,2061,12656.633499653479
GFCO,USA,2062,12910.642298204266
GFCO,USA,2063,13159.30041967638
GFCO,USA,2064,13417.829452362537
GFCO,USA,2065,13677.658973384045
GFCO,USA,2066,13914.843010459204
GFCO,USA,2067,14136.853309123428
GFCO,USA,2068,14337.723310724476
GFCO,USA,2069,14519.685831235256
GFCO,USA,2070,14691.308437208934
GFCO,USA,2071,14845.355408335488
GFCO,USA,2072,14981.247722997508
GFCO,USA,2073,15101.631728640632
GFCO,USA,2074,15209.660193756721
GFCO,USA,2075,15310.585847154402
GFCO,USA,2076,15400.920995387612
GFCO,USA,2077,15483.782549208645
GFCO,USA,2078,15562.417145329822
GFCO,USA,2079,15637.862212632568
GFCO,USA,2080,15712.121697590052
GFCO,USA,2081,15788.758185065499
GFCO,USA,2082,15866.657161043899
GFCO,USA,2083,15937.163738159494
GFCO,USA,2084,16006.735705648785
GFCO,USA,2085,16072.779511824712
GFCO,USA,2086,16134.992325277526
GFCO,USA,2087,16195.988556649087
GFCO,USA,2088,16256.26891845629
GFCO,USA,2089,16316.827016284748
GFCO,USA,2090,16373.523413528117
GFCO,USA,2091,16431.66937691509
GFCO,USA,2092,16493.687565123215
GFCO,USA,2093,16558.534704067562
GFCO,USA,2094,16624.630567628894
GFCO,USA,2095,16693.479780725276
