basin,country,year,Value
GMAN,USA,2015,10611.546327593613
GMAN,USA,2016,10704.222613301374
GMAN,USA,2017,10761.38128953457
GMAN,USA,2018,10755.370713817842
GMAN,USA,2019,10760.589934776208
GMAN,USA,2020,10945.431536653687
GMAN,USA,2021,11004.257973036667
GMAN,USA,2022,11049.293009376803
GMAN,USA,2023,11031.420405712868
GMAN,USA,2024,10984.533850668367
GMAN,USA,2025,10942.049927575192
GMAN,USA,2026,11006.727667411802
GMAN,USA,2027,11117.821088011724
GMAN,USA,2028,11254.10989065747
GMAN,USA,2029,11392.968639634866
GMAN,USA,2030,11504.203680295914
GMAN,USA,2031,11610.260968348119
GMAN,USA,2032,11677.063579481226
GMAN,USA,2033,11685.454477114243
GMAN,USA,2034,11633.704463070933
GMAN,USA,2035,11517.099366416895
GMAN,USA,2036,11361.274223942626
GMAN,USA,2037,11158.569314620547
GMAN,USA,2038,10894.063907568952
GMAN,USA,2039,10578.409900829362
GMAN,USA,2040,10227.305815353826
GMAN,USA,2041,9864.703363305662
GMAN,USA,2042,9492.57828485622
GMAN,USA,2043,9112.792722831833
GMAN,USA,2044,8766.96137183098
GMAN,USA,2045,8466.147704091503
GMAN,USA,2046,8189.801967985356
GMAN,USA,2047,7923.760390093714
GMAN,USA,2048,7643.57038020813
GMAN,USA,2049,7374.810814563109
GMAN,USA,2050,7144.683856282598
GMAN,USA,2051,6933.844891612442
GMAN,USA,2052,6738.669978761281
GMAN,USA,2053,6561.492643574951
GMAN,USA,2054,6389.761720080582
GMAN,USA,2055,6106.092136792309
GMAN,USA,2056,5521.812553201696
GMAN,USA,2057,5014.387173986143
GMAN,USA,2058,4571.496403654677
GMAN,USA,2059,4184.407851999339
GMAN,USA,2060,3842.190106265416
GMAN,USA,2061,3533.628543136439
GMAN,USA,2062,3256.371414891843
GMAN,USA,2063,3003.120678987318
GMAN,USA,2064,2744.280878463344
GMAN,USA,2065,2497.1517915876616
GMAN,USA,2066,2297.7623885617554
GMAN,USA,2067,2128.1968463338867
GMAN,USA,2068,1977.4770605372928
GMAN,USA,2069,1841.3710837369604
GMAN,USA,2070,1717.0023607174269
GMAN,USA,2071,1603.4784263927158
GMAN,USA,2072,1498.9505323242136
GMAN,USA,2073,1401.858728842566
GMAN,USA,2074,1312.094461026809
GMAN,USA,2075,1228.505977202317
GMAN,USA,2076,1150.3529064401557
GMAN,USA,2077,1076.6733446825813
GMAN,USA,2078,1007.4235419663592
GMAN,USA,2079,942.4107130669918
GMAN,USA,2080,881.2102405469587
GMAN,USA,2081,862.7562871924399
GMAN,USA,2082,846.8301112249745
GMAN,USA,2083,830.8549962361386
GMAN,USA,2084,815.0951275907715
GMAN,USA,2085,799.4467957945445
GMAN,USA,2086,783.4210258695433
GMAN,USA,2087,767.2553431087728
GMAN,USA,2088,750.9614631621699
GMAN,USA,2089,734.7660918312571
GMAN,USA,2090,721.0549874863217
GMAN,USA,2091,706.3666039036992
GMAN,USA,2092,692.0101579712428
GMAN,USA,2093,677.5434934334396
GMAN,USA,2094,662.6864559699239
GMAN,USA,2095,647.3742441698479
GMAN,USA,2096,631.5066835029179
GMAN,USA,2097,609.8512880770119
GMAN,USA,2098,586.3379699316822
GMAN,USA,2099,563.3918666109957
GMAN,USA,2100,541.8083805617435
MSMM,USA,2015,132753.65904439217
MSMM,USA,2016,133731.12262589665
MSMM,USA,2017,134006.5510016478
MSMM,USA,2018,133157.89076824134
MSMM,USA,2019,132094.97865760679
MSMM,USA,2020,133312.0946244616
MSMM,USA,2021,132743.81327373578
MSMM,USA,2022,131734.6929918137
MSMM,USA,2023,129734.7754890081
MSMM,USA,2024,127146.4039687712
MSMM,USA,2025,124325.0962582548
MSMM,USA,2026,122489.61534852996
MSMM,USA,2027,120924.27284442699
MSMM,USA,2028,119401.44087454835
MSMM,USA,2029,117896.72308484174
MSMM,USA,2030,116389.36215705854
MSMM,USA,2031,115257.71005708401
MSMM,USA,2032,114242.99610171608
MSMM,USA,2033,113232.7218553179
MSMM,USA,2034,112265.95325822961
MSMM,USA,2035,111295.32378369338
MSMM,USA,2036,110529.54081082252
MSMM,USA,2037,109830.0879490582
MSMM,USA,2038,108928.64814293927
MSMM,USA,2039,107806.99334717207
MSMM,USA,2040,106515.78970330827
MSMM,USA,2041,105210.7542688249
MSMM,USA,2042,103837.4506404913
MSMM,USA,2043,102345.77123753003
MSMM,USA,2044,101166.5266573632
MSMM,USA,2045,100418.09487113018
MSMM,USA,2046,99849.91128745787
MSMM,USA,2047,99273.39245328186
MSMM,USA,2048,98357.46814896794
MSMM,USA,2049,97415.97267644091
MSMM,USA,2050,96818.64744514434
MSMM,USA,2051,96336.04842945594
MSMM,USA,2052,95926.23366482808
MSMM,USA,2053,95636.0907509034
MSMM,USA,2054,95294.91023345201
MSMM,USA,2055,93219.34979773141
MSMM,USA,2056,86535.98141583326
MSMM,USA,2057,80629.79269360044
MSMM,USA,2058,75376.99092882789
MSMM,USA,2059,70701.39860227038
MSMM,USA,2060,66485.03778020687
