region,year,type,region_value,basin_value,diff_region-basin,area,diff/area
CAN_NWTT,2005,FRS,61822.163,42635.317,19186.846,296949.745,0.065
RUS_SNCO,2005,FRS,123670.038,138239.293,-14569.254,286401.046,-0.051
NOR_SNCC,2005,FRS,19972.502,24684.786,-4712.283,35255.967,-0.134
RUS_SWCO,2005,FRS,106601.421,76974.602,29626.819,300613.284,0.099
RUS_LENA,2005,FRS,165437.632,114625.005,50812.627,240158.124,0.212
RUS_YENS,2005,FRS,172887.156,167520.136,5367.019,223541.776,0.024
USA_PACA,2005,FRS,92928.708,100089.058,-7160.350,153635.382,-0.047
CAN_PACA,2005,FRS,46364.906,44940.881,1424.025,68342.048,0.021
FIN_SNCC,2005,FRS,226.007,2115.462,-1889.455,3173.242,-0.595
SWE_SWED,2005,FRS,22748.953,30589.932,-7840.978,44167.920,-0.178
NOR_SWED,2005,FRS,400.054,803.251,-403.197,1816.664,-0.222
CAN_MACK,2005,FRS,142196.103,147632.840,-5436.737,198669.441,-0.027
FIN_SWED,2005,FRS,528.353,1290.045,-761.692,2359.611,-0.323
FIN_FINL,2005,FRS,7509.754,10565.524,-3055.771,27470.424,-0.111
RUS_VOLG,2005,FRS,96532.769,118652.402,-22119.633,298250.629,-0.074
RUS_OBBB,2005,FRS,93455.252,147250.023,-53794.772,220199.801,-0.244
ISL_ICEL,2005,FRS,5554.876,6191.157,-636.281,10093.170,-0.063
CAN_HBCO,2005,FRS,120678.612,153648.598,-32969.987,172460.716,-0.191
GBR_SCTD,2005,FRS,498.878,2164.172,-1665.294,7894.509,-0.211
CAN_AOSB,2005,FRS,39714.861,46017.874,-6303.013,56744.915,-0.111
EST_BSCC,2005,FRS,249.538,384.358,-134.820,2787.448,-0.048
EST_NARV,2005,FRS,508.889,336.623,172.266,1713.360,0.101
LVA_BSCC,2005,FRS,759.564,349.240,410.325,3762.269,0.109
DNK_DGCO,2005,FRS,840.296,470.466,369.830,4190.516,0.088
LVA_DAUG,2005,FRS,825.158,560.788,264.370,2647.862,0.100
CAN_SNEL,2005,FRS,37469.655,43144.270,-5674.614,110855.313,-0.051
LTU_BSCC,2005,FRS,0.000,332.276,-332.276,1903.127,-0.175
LTU_NEMA,2005,FRS,913.236,580.146,333.090,4555.188,0.073
BLR_DAUG,2005,FRS,0.000,1009.056,-1009.056,3315.344,-0.304
IRL_IREL,2005,FRS,2291.119,2080.373,210.745,6913.157,0.030
GBR_IREL,2005,FRS,92.407,197.504,-105.097,1418.074,-0.074
GBR_EAWC,2005,FRS,1700.589,1467.429,233.159,14903.241,0.016
BLR_NEMA,2005,FRS,1733.849,16.865,1716.984,5474.736,0.314
BLR_DNIP,2005,FRS,4508.479,669.840,3838.638,11872.176,0.323
RUS_AMUR,2005,FRS,65914.527,83834.541,-17920.014,111188.081,-0.161
DEU_DGCO,2005,FRS,342.892,132.812,210.080,3105.183,0.068
POL_PLCO,2005,FRS,423.459,315.815,107.644,3187.061,0.034
KAZ_OBBB,2005,FRS,1009.375,1663.290,-653.915,69281.914,-0.009
POL_WISL,2005,FRS,557.674,352.995,204.679,17125.975,0.012
NLD_RHIN,2005,FRS,823.607,166.663,656.943,2561.436,0.256
DEU_EWES,2005,FRS,1032.638,420.381,612.257,6394.587,0.096
DEU_ELBE,2005,FRS,2078.521,27.535,2050.986,9504.332,0.216
POL_ODER,2005,FRS,1189.644,10.002,1179.642,10870.770,0.109
CAN_STLA,2005,FRS,49993.474,56723.875,-6730.400,81863.831,-0.082
CHN_AMUR,2005,FRS,34333.063,48326.131,-13993.068,123541.646,-0.113
UKR_DNIP,2005,FRS,5335.475,0.056,5335.419,29183.423,0.183
NLD_SCHE,2005,FRS,73.776,10.426,63.350,337.554,0.188
DEU_RHIN,2005,FRS,2565.478,1209.334,1356.144,11022.165,0.123
UKR_DNIE,2005,FRS,1448.947,214.288,1234.659,6731.247,0.183
KAZ_SYRD,2005,FRS,0.000,66.442,-66.442,101876.292,-0.001
FRA_FWCX,2005,FRS,1562.462,777.585,784.878,11558.760,0.068
NLD_MAAS,2005,FRS,0.000,2.966,-2.966,616.561,-0.005
KAZ_CSPC,2005,FRS,155.104,83.596,71.508,43505.628,0.002
MNG_YENS,2005,FRS,3236.391,3607.512,-371.120,32632.978,-0.011
BEL_SCHE,2005,FRS,79.632,84.296,-4.664,1641.859,-0.003
FRA_SEIN,2005,FRS,2113.454,689.834,1423.620,8453.518,0.168
BEL_MAAS,2005,FRS,0.000,284.053,-284.053,1407.712,-0.202
LUX_RHIN,2005,FRS,131.115,63.051,68.064,260.602,0.261
CZE_ELBE,2005,FRS,501.328,290.852,210.475,4963.341,0.042
UKR_DONN,2005,FRS,106.160,12.899,93.261,5355.506,0.017
MNG_GOBI,2005,FRS,696.135,3812.949,-3116.814,104612.351,-0.030
CZE_ODER,2005,FRS,0.000,34.119,-34.119,687.774,-0.050
SVK_DANU,2005,FRS,1039.053,1985.658,-946.605,4833.896,-0.196
MNG_AMUR,2005,FRS,194.529,1999.722,-1805.193,18806.878,-0.096
USA_MSMM,2005,FRS,72662.408,74695.299,-2032.891,387646.284,-0.005
FRA_RHON,2005,FRS,4590.321,5770.886,-1180.564,15201.316,-0.078
DEU_DANU,2005,FRS,872.820,912.611,-39.791,5572.723,-0.007
CZE_DANU,2005,FRS,104.764,414.842,-310.078,2196.619,-0.141
UKR_BSNC,2005,FRS,314.744,135.873,178.870,15290.275,0.012
USA_COLU,2005,FRS,40955.136,22853.583,18101.553,107095.445,0.169
FRA_LOIR,2005,FRS,2324.035,778.264,1545.771,11669.126,0.132
UKR_DANU,2005,FRS,725.533,876.618,-151.085,3093.241,-0.049
KAZ_LKBH,2005,FRS,365.783,83.320,282.463,40946.543,0.007
CHN_GOBI,2005,FRS,784.733,839.858,-55.125,119572.761,-0.000
AUT_DANU,2005,FRS,1708.304,3270.959,-1562.655,8376.130,-0.187
HUN_DANU,2005,FRS,52.577,329.019,-276.442,9293.363,-0.030
ROU_DANU,2005,FRS,4134.971,3610.260,524.712,23574.561,0.022
MDA_DNIE,2005,FRS,0.000,171.091,-171.091,1866.686,-0.092
USA_GMAN,2005,FRS,60387.446,67770.026,-7382.580,110096.545,-0.067
CHE_RHIN,2005,FRS,832.870,1137.703,-304.833,2776.613,-0.110
ITA_IECO,2005,FRS,1210.136,1806.213,-596.077,9440.419,-0.063
CHE_RHON,2005,FRS,164.523,232.491,-67.968,780.058,-0.087
ITA_POOO,2005,FRS,1798.539,2079.973,-281.434,6991.595,-0.040
SVN_DANU,2005,FRS,838.772,843.900,-5.127,1602.542,-0.003
SVN_AGBS,2005,FRS,6.350,222.052,-215.701,423.355,-0.510
SRB_DANU,2005,FRS,3105.638,415.043,2690.595,7742.568,0.348
FRA_GIRD,2005,FRS,2423.522,1409.903,1013.619,8019.055,0.126
HRV_DANU,2005,FRS,1129.316,766.302,363.014,3218.540,0.113
KAZ_CSEC,2005,FRS,0.000,13.590,-13.590,15330.315,-0.001
UZB_CSEC,2005,FRS,0.000,0.352,-0.352,7657.002,-0.000
JPN_JAPN,2005,FRS,26951.517,26951.517,0.000,37037.503,0.000
HRV_AGBS,2005,FRS,789.708,1192.811,-403.103,2248.184,-0.179
UZB_AMDA,2005,FRS,0.000,37.748,-37.748,30744.842,-0.001
BIH_DANU,2005,FRS,542.861,1207.558,-664.696,3787.099,-0.176
CHN_TARI,2005,FRS,22411.259,7210.208,15201.051,208933.041,0.073
ITA_IWCO,2005,FRS,1151.325,703.166,448.158,6821.710,0.066
ESP_SPAC,2005,FRS,2073.600,2732.609,-659.009,5361.704,-0.123
ITA_TIBE,2005,FRS,273.242,223.003,50.239,1780.526,0.028
BGR_DANU,2005,FRS,732.081,898.101,-166.020,4847.823,-0.034
USA_NACC,2005,FRS,12529.479,2989.781,9539.699,104941.702,0.091
BIH_AGBS,2005,FRS,112.833,412.042,-299.209,1383.924,-0.216
BGR_AGBS,2005,FRS,736.184,1842.683,-1106.499,6406.791,-0.173
KGZ_SYRD,2005,FRS,1091.074,1122.190,-31.116,15238.342,-0.002
PRK_RSEC,2005,FRS,675.616,485.406,190.210,nan,nan
ESP_DOUR,2005,FRS,289.504,682.883,-393.379,7894.420,-0.050
ESP_EBRO,2005,FRS,891.663,1375.390,-483.727,9040.425,-0.054
GEO_BSSC,2005,FRS,548.308,1913.966,-1365.658,3215.175,-0.425
KGZ_LKBH,2005,FRS,132.628,7.332,125.297,2243.223,0.056
CHN_HHEE,2005,FRS,12896.809,920.970,11975.840,117280.575,0.102
PRT_SPAC,2005,FRS,376.597,760.827,-384.230,3889.648,-0.099
TUR_BSSC,2005,FRS,1356.408,1385.029,-28.621,30908.002,-0.001
GEO_CSSW,2005,FRS,586.147,1387.898,-801.751,3718.579,-0.216
TKM_CSEC,2005,FRS,0.000,3416.333,-3416.333,41173.359,-0.083
UZB_SYRD,2005,FRS,110.853,134.706,-23.852,6317.712,-0.004
KGZ_TARI,2005,FRS,650.495,230.762,419.732,2390.142,0.176
PRT_DOUR,2005,FRS,516.988,550.286,-33.298,1826.570,-0.018
