region,Spearman係数,p値,Spearman係数（差分）,p値,,地域,BRA,CAN,CHN,CIS,IND,JPN,TUR,USA,XAF
BRA,-0.936 ,0.000 ,0.558 ,0.093 ,,spearman,-0.936 ,0.045 ,-0.918 ,-1.000 ,-0.909 ,-0.932 ,-0.068 ,-0.243 ,-1.000 
CAN,0.045 ,0.894 ,-0.310 ,0.383 ,,p_value,0.000 ,0.894 ,0.000 ,0.000 ,0.000 ,0.000 ,0.842 ,0.472 ,0.000 
CHN,-0.918 ,0.000 ,-0.790 ,0.007 ,,spearman_delta,0.558 ,-0.310 ,-0.790 ,-0.469 ,0.136 ,-0.236 ,-0.261 ,-0.165 ,-0.518 
CIS,-1.000 ,0.000 ,-0.469 ,0.171 ,,p_value,0.093 ,0.383 ,0.007 ,0.171 ,0.708 ,0.511 ,0.467 ,0.648 ,0.125 
IND,-0.909 ,0.000 ,0.136 ,0.708 ,,地域,XE25,XER,XLM,XME,XNF,XOC,XSA,XSE,
JPN,-0.932 ,0.000 ,-0.236 ,0.511 ,,spearman,-1.000 ,-0.109 ,-0.918 ,-0.982 ,0.036 ,-1.000 ,0.519 ,-0.984 ,
TUR,-0.068 ,0.842 ,-0.261 ,0.467 ,,p_value,0.000 ,0.750 ,0.000 ,0.000 ,0.915 ,0.000 ,0.102 ,0.000 ,
USA,-0.243 ,0.472 ,-0.165 ,0.648 ,,spearman_delta,-0.585 ,0.006 ,0.620 ,0.409 ,-0.354 ,-0.624 ,-0.534 ,-0.872 ,
XAF,-1.000 ,0.000 ,-0.518 ,0.125 ,,p_value,0.075 ,0.987 ,0.056 ,0.241 ,0.316 ,0.054 ,0.112 ,0.001 ,
XE25,-1.000 ,0.000 ,-0.585 ,0.075 ,,,,,,,,,,,
XER,-0.109 ,0.750 ,0.006 ,0.987 ,,,,,,,,,,,
XLM,-0.918 ,0.000 ,0.620 ,0.056 ,,,,,,,,,,,
XME,-0.982 ,0.000 ,0.409 ,0.241 ,,,,,,,,,,,
XNF,0.036 ,0.915 ,-0.354 ,0.316 ,,,,,,,,,,,
XOC,-1.000 ,0.000 ,-0.624 ,0.054 ,,,,,,,,,,,
XSA,0.519 ,0.102 ,-0.534 ,0.112 ,,,,,,,,,,,
XSE,-0.984 ,0.000 ,-0.872 ,0.001 ,,,,,,,,,,,
