region,spearman_rho,p_value,n_years
BRA,-0.936363636,2.208207644917754e-05,11
CAN,0.045454545454545456,0.8944269969053026,11
CHN,-0.918181818,6.661451941355563e-05,11
CIS,-1,0,11
IND,-0.909090909,0.000105593,11
JPN,-0.931516561,3.0507783946212435e-05,11
TUR,-0.068337307,0.8417602513964069,11
USA,-0.242568645,0.4723422647419253,11
XAF,-1,0,11
XE25,-1,0,11
XER,-0.109090909,0.7495085962341482,11
XLM,-0.918181818,6.661451941355563e-05,11
XME,-0.981818182,8.403066433955246e-08,11
XNF,0.036446564,0.9152761385497562,11
XOC,-1,0,11
XSA,0.5193635342391539,0.10157323663618575,11
XSE,-0.984057223,4.666690957849578e-08,11
