country,Unique_Basin_Count
AFG,5
AGO,4
ALB,1
ARE,1
ARG,7
ARM,1
ATG,1
AUS,6
AUT,1
AZE,1
BDI,2
BEL,2
BEN,3
BFA,3
BGD,2
BGR,2
BHR,1
BHS,1
BIH,2
BLR,3
BLZ,1
BOL,3
BRA,5
BRB,1
BTN,1
BWA,3
CAF,2
CAN,7
CHE,3
CHL,3
CHN,6
CIV,2
CMR,4
COD,1
COG,2
COL,5
COM,1
CRI,1
CYP,1
CZE,3
DEU,5
DJI,2
DNK,1
DOM,1
DZA,3
ECU,2
EGY,3
ESP,7
EST,2
ETH,4
FIN,3
FJI,1
FRA,6
GAB,1
GBR,3
GEO,2
GHA,2
GIN,3
GMB,1
GNB,1
GRC,1
GRD,1
GTM,3
GUY,2
HKG,1
HND,1
HRV,2
HTI,1
HUN,1
IDN,5
IND,5
IRL,1
IRN,5
IRQ,1
ISL,1
ISR,2
ITA,5
JAM,1
JOR,3
JPN,1
KAZ,5
KEN,4
KGZ,3
KHM,2
KOR,1
KWT,2
LAO,2
LBN,2
LBR,1
LBY,2
LCA,1
LKA,1
LSO,1
LTU,2
LUX,1
LVA,2
MAC,1
MAR,3
MDA,3
MDG,1
MEX,8
MKD,1
MLI,3
MLT,1
MMR,5
MNE,2
MNG,3
MOZ,4
MRT,3
MWI,2
MYS,2
NAM,3
NER,2
NGA,4
NIC,1
NLD,3
NOR,2
NPL,1
NZL,1
OMN,1
PAK,4
PAN,2
PER,2
PHL,1
PNG,4
POL,3
PRK,4
PRT,4
PRY,1
QAT,1
ROU,1
RUS,7
RWA,2
SAU,2
SDN,4
SEN,2
SLB,2
SLE,1
SLV,1
SOM,4
SRB,1
SSD,1
STP,1
SUR,1
SVK,1
SVN,2
SWE,1
SWZ,1
TCD,2
TGO,2
THA,4
TJK,2
TKM,2
TLS,1
TTO,1
TUN,2
TUR,4
TZA,4
UGA,1
UKR,5
URY,2
USA,6
UZB,3
VCT,1
VEN,5
VNM,3
VUT,1
YEM,3
ZAF,4
ZMB,2
ZWE,4
