country,total_area
GRL,240172.5211013
CAN,1119169.0533862
RUS,1795538.3862082
NOR,55394.692090000004
USA,1001934.8231135
FIN,36184.74184589999
SWE,50572.119836
ISL,15619.429588399998
FRO,870.4904297999999
GBR,37867.042771199995
EST,7051.461510600001
DNK,8971.7546996
LVA,7242.8940804
LTU,6668.958056000002
BLR,20549.461179000005
IRL,10172.4484362
KAZ,274542.6077264
DEU,38625.6154025
POL,32525.900106200002
NLD,4629.810351
CHN,954076.7055671001
UKR,58826.5657574
MNG,157283.68063520003
FRA,74319.24835080002
BEL,3523.5897213999997
CZE,7577.087987600001
LUX,199.6772705
SVK,5089.9192507
AUT,8542.711816800002
HUN,9449.2218748
ROU,24534.1504871
MDA,3360.0828856000003
CHE,3383.9748288
ITA,46096.1891349
SVN,2142.845776
HRV,8562.0346921
SRB,7309.8200437000005
JPN,66597.8266843
UZB,44228.97138660001
BIH,4663.4473144
ESP,63214.143726
BGR,11323.953783900004
MNE,1363.4084473000003
GEO,6399.404198800001
XKX,1138.3137452
KGZ,19432.583202499995
PRK,14894.253027799996
ALB,3490.3074706
MKD,2539.7040767999997
TUR,81192.84316660001
TKM,49783.1420182
PRT,14391.553687000003
AZE,10125.7091066
GRC,29565.6985603
ARM,2356.8231202
TJK,13522.3974131
IRN,167685.8645491
AFG,66157.5842524
KOR,16231.7087646
DZA,234151.75255719997
TUN,18324.868652300003
SYR,16977.408569100004
IRQ,43536.77748990001
PAK,88855.1459453
MLT,750.8375977000002
MAR,67121.3262926
CYP,506.294165
IND,326460.779733
LBN,1283.2529053
LBY,167923.0537539
ISR,2888.8776855000006
JOR,8706.142529200002
MEX,222090.26813799998
BMU,261.36242680000004
PSE,786.9455322000001
EGY,107868.5365439
SAU,200154.968576
NPL,14422.396215499997
KWT,2425.3442139000003
MMR,76561.2142092
BTN,2742.4234862000003
BHS,13547.8416987
ESH,8723.492260099998
MRT,106266.18278960002
BHR,277.1681396
QAT,2512.0556884000002
OMN,37563.1499032
ARE,9303.1271234
BGD,10778.058031799997
TWN,6787.802489899999
MLI,125730.8281262
CUB,23549.304858999996
NER,117788.0055918
TCD,127846.55356819999
VNM,40282.1078384
LAO,23702.4647711
HKG,286.0275635
TCA,1149.1396729
SDN,186527.33931169997
PHL,71311.0907981
HTI,4968.451392
THA,58525.7527838
CYM,873.4788086000001
DOM,8482.560156900001
JAM,2937.4128176999993
PRI,3229.217212299999
VGB,292.6377686
YEM,53244.18059050001
MNP,2368.8284424
BLZ,3247.124756
VIR,587.8203857999999
GTM,12793.477392199999
ATG,589.4646973
ERI,15792.347778000003
KNA,295.1378174
CPV,4160.559423899999
HND,13725.988524499999
SEN,22155.1199701
DMA,595.5919433
NIC,16268.016455499997
BFA,26564.4612807
MHL,2442.5594726
SLV,2703.5036866
LCA,899.8935302000001
ETH,114149.0678255
KHM,19289.370899
GMB,901.8050782
NGA,94709.5332561
GUM,600.9935303
COL,119982.80468780002
VCT,300.8115479
BRB,601.6230958
ABW,602.8364258
GRD,603.4201416000001
CMR,47620.05998610001
DJI,2721.3124513
VEN,101922.619852
GNB,3932.1236330000006
GIN,25220.70447
BEN,12493.438648100002
SSD,62193.120826499995
SOM,72983.2633078
TTO,1822.6490725
CRI,7915.9727546
GHA,25400.816504899998
TGO,5806.850634900001
CAF,62300.8624519
CIV,34601.124366100004
PAN,14056.934595399996
SLE,8863.862256199998
LKA,10714.4378662
FSM,1533.5223877
GUY,22151.810913300003
LBR,11057.266552600002
PLW,1534.7883788
MYS,43761.8404549
MDV,1232.1676513
SUR,15408.210644800001
IDN,318001.77257900004
COD,234204.8301268
BRN,1231.8844726
BRA,866294.9952466
KEN,59596.1227281
KIR,4316.7965088
GNQ,4014.6605224000014
UGA,24709.1870109
COG,33960.74726490001
GAB,29656.741405
STP,617.9296631000001
ECU,31814.15556500001
SGP,308.96481930000004
PER,136225.7246607
NRU,309.03542480000004
RWA,2779.7422609000005
TZA,97891.6709492
PNG,78553.10945009999
BDI,2776.6133545000002
SYC,1537.3508544000001
AGO,129944.61804480001
SLB,15863.905078900001
PYF,7437.2634767
ZMB,75984.6164074
TLS,3665.628418199999
TUV,305.8402588
MWI,11425.280468799998
BOL,103697.8474877
MOZ,87690.5468018
AUS,835109.0031273
COM,1511.6687012
MDG,72844.7518314
FJI,12071.353028200001
WSM,2401.4101562
VUT,8905.3091552
ASM,599.0591308
TON,2333.1204103
ZWE,39432.9574481
NAM,86559.61242710002
CHL,98783.3068447
BWA,58337.8627195
PRY,38581.7244374
MUS,1161.5933594000003
NCL,8062.055859499999
ARG,286558.26128740003
ZAF,130082.88849750001
SWZ,1381.0063719000002
LSO,3227.5677734
NZL,44266.4618282
URY,18944.8115235
