region,mode,year,kappa
JPN,region,2010,1.000
JPN,region,2020,1.000
JPN,region,2030,0.971
JPN,region,2040,0.941
JPN,region,2050,0.963
JPN,region,2060,0.949
JPN,region,2070,0.919
JPN,region,2080,0.911
JPN,region,2090,0.911
JPN,region,2100,0.896
JPN,basin,2010,1.000
JPN,basin,2020,1.000
JPN,basin,2030,0.971
JPN,basin,2040,0.941
JPN,basin,2050,0.963
JPN,basin,2060,0.949
JPN,basin,2070,0.919
JPN,basin,2080,0.911
JPN,basin,2090,0.911
JPN,basin,2100,0.896
USA,region,2010,0.988
USA,region,2020,0.981
USA,region,2030,0.963
USA,region,2040,0.948
USA,region,2050,0.924
USA,region,2060,0.863
USA,region,2070,0.804
USA,region,2080,0.768
USA,region,2090,0.749
USA,region,2100,0.736
USA,basin,2010,0.993
USA,basin,2020,0.984
USA,basin,2030,0.969
USA,basin,2040,0.956
USA,basin,2050,0.933
USA,basin,2060,0.867
USA,basin,2070,0.811
USA,basin,2080,0.779
USA,basin,2090,0.755
USA,basin,2100,0.738
CHN,region,2010,0.960
CHN,region,2020,0.892
CHN,region,2030,0.856
CHN,region,2040,0.802
CHN,region,2050,0.738
CHN,region,2060,0.562
CHN,region,2070,0.537
CHN,region,2080,0.522
CHN,region,2090,0.521
CHN,region,2100,0.635
CHN,basin,2010,0.973
CHN,basin,2020,0.932
CHN,basin,2030,0.894
CHN,basin,2040,0.864
CHN,basin,2050,0.813
CHN,basin,2060,0.706
CHN,basin,2070,0.663
CHN,basin,2080,0.631
CHN,basin,2090,0.627
CHN,basin,2100,0.551
IND,region,2010,0.965
IND,region,2020,0.937
IND,region,2030,0.884
IND,region,2040,0.846
IND,region,2050,0.841
IND,region,2060,0.833
IND,region,2070,0.819
IND,region,2080,0.813
IND,region,2090,0.807
IND,region,2100,0.799
IND,basin,2010,0.957
IND,basin,2020,0.918
IND,basin,2030,0.863
IND,basin,2040,0.816
IND,basin,2050,0.829
IND,basin,2060,0.829
IND,basin,2070,0.818
IND,basin,2080,0.809
IND,basin,2090,0.806
IND,basin,2100,0.801
BRA,region,2010,0.992
BRA,region,2020,0.936
BRA,region,2030,0.869
BRA,region,2040,0.830
BRA,region,2050,0.834
BRA,region,2060,0.871
BRA,region,2070,0.963
BRA,region,2080,0.849
BRA,region,2090,0.671
BRA,region,2100,0.623
BRA,basin,2010,0.982
BRA,basin,2020,0.945
BRA,basin,2030,0.882
BRA,basin,2040,0.824
BRA,basin,2050,0.822
BRA,basin,2060,0.866
BRA,basin,2070,0.910
BRA,basin,2080,0.707
BRA,basin,2090,0.615
BRA,basin,2100,0.565
CAN,region,2010,0.955
CAN,region,2020,0.909
CAN,region,2030,0.909
CAN,region,2040,0.897
CAN,region,2050,0.889
CAN,region,2060,0.885
CAN,region,2070,0.884
CAN,region,2080,0.883
CAN,region,2090,0.878
CAN,region,2100,0.876
CAN,basin,2010,0.968
CAN,basin,2020,0.956
CAN,basin,2030,0.949
CAN,basin,2040,0.958
CAN,basin,2050,0.943
CAN,basin,2060,0.932
CAN,basin,2070,0.921
CAN,basin,2080,0.916
CAN,basin,2090,0.908
CAN,basin,2100,0.901
CIS,region,2010,0.989
CIS,region,2020,0.971
CIS,region,2030,0.966
CIS,region,2040,0.964
CIS,region,2050,0.958
CIS,region,2060,0.950
CIS,region,2070,0.945
CIS,region,2080,0.940
CIS,region,2090,0.940
CIS,region,2100,0.936
CIS,basin,2010,0.982
CIS,basin,2020,0.966
CIS,basin,2030,0.958
CIS,basin,2040,0.952
CIS,basin,2050,0.938
CIS,basin,2060,0.928
CIS,basin,2070,0.922
CIS,basin,2080,0.913
CIS,basin,2090,0.914
CIS,basin,2100,0.909
XAF,region,2010,0.963
XAF,region,2020,0.904
XAF,region,2030,0.828
XAF,region,2040,0.765
XAF,region,2050,0.723
XAF,region,2060,0.696
XAF,region,2070,0.675
XAF,region,2080,0.655
XAF,region,2090,0.652
XAF,region,2100,0.656
XAF,basin,2010,0.958
XAF,basin,2020,0.883
XAF,basin,2030,0.785
XAF,basin,2040,0.671
XAF,basin,2050,0.611
XAF,basin,2060,0.578
XAF,basin,2070,0.544
XAF,basin,2080,0.520
XAF,basin,2090,0.505
XAF,basin,2100,0.496
XME,region,2010,0.938
XME,region,2020,0.836
XME,region,2030,0.753
XME,region,2040,0.710
XME,region,2050,0.668
XME,region,2060,0.643
XME,region,2070,0.612
XME,region,2080,0.594
XME,region,2090,0.540
XME,region,2100,0.487
XME,basin,2010,0.925
XME,basin,2020,0.827
XME,basin,2030,0.758
XME,basin,2040,0.723
XME,basin,2050,0.713
XME,basin,2060,0.712
XME,basin,2070,0.683
XME,basin,2080,0.646
XME,basin,2090,0.617
XME,basin,2100,0.557
XNF,region,2010,0.966
XNF,region,2020,0.902
XNF,region,2030,0.893
XNF,region,2040,0.846
XNF,region,2050,0.820
XNF,region,2060,0.797
XNF,region,2070,0.796
XNF,region,2080,0.788
XNF,region,2090,0.797
XNF,region,2100,0.810
XNF,basin,2010,0.980
XNF,basin,2020,0.953
XNF,basin,2030,0.939
XNF,basin,2040,0.928
XNF,basin,2050,0.891
XNF,basin,2060,0.872
XNF,basin,2070,0.849
XNF,basin,2080,0.838
XNF,basin,2090,0.784
XNF,basin,2100,0.768
XSA,region,2010,0.969
XSA,region,2020,0.972
XSA,region,2030,0.963
XSA,region,2040,0.953
XSA,region,2050,0.939
